Champion1,Mastery1,Lane1,Champion2,Mastery2,Lane2,Champion3,Mastery3,Lane3,Champion4,Mastery4,Lane4,Champion5,Mastery5,Lane5,Champion6,Mastery6,Lane6,Champion7,Mastery7,Lane7,Champion8,Mastery8,Lane8,Champion9,Mastery9,Lane9,Champion10,Mastery10,Lane10,Champion11,Mastery11,Lane11,Champion12,Mastery12,Lane12,Champion13,Mastery13,Lane13,Champion14,Mastery14,Lane14,Champion15,Mastery15,Lane15
164,144703,top,360,105028,bot,84,104458,top,145,100388,bot,887,58525,top,55,43368,mid,523,41373,bot,142,38508,mid,234,17723,jg,711,16796,mid,80,15039,sup,203,14321,jg,28,13856,jg,235,12455,sup,117,5551,sup
157,724473,mid,67,379779,bot,517,166150,mid,11,144092,jg,81,135286,bot,236,97399,bot,105,69394,mid,141,62967,jg,114,59051,top,62,45232,jg,122,42783,top,92,36385,top,53,28365,sup,32,20987,sup,50,15958,sup
67,175488,bot,51,51374,bot,63,47473,sup,412,34038,sup,235,32971,sup,236,28916,bot,42,22083,mid,54,22031,top,98,18722,top,64,18205,jg,91,12286,jg,11,10363,jg,238,9121,mid,31,8471,top,157,7137,mid
4,962492,mid,54,205431,top,106,190689,top,222,141460,bot,29,56226,bot,37,48114,sup,89,32389,sup,21,32095,bot,412,26975,sup,120,18007,jg,76,11345,jg,5,8031,jg,7,7463,mid,875,4637,top,3,3290,mid
202,832088,bot,119,447721,bot,103,385342,mid,19,266770,jg,222,255929,bot,876,207416,jg,121,171448,jg,105,97350,mid,31,76703,top,75,72278,top,412,59851,sup,80,47136,sup,89,40015,sup,777,28330,mid,107,21677,top
4,233209,mid,64,144327,jg,201,82763,sup,35,67260,jg,38,63859,mid,13,52996,mid,81,50165,bot,76,43238,jg,99,37412,sup,202,34670,bot,67,33089,bot,12,30789,sup,266,27363,top,92,25635,top,54,18493,top
245,951319,jg,43,298579,sup,80,250248,sup,45,119436,mid,61,71243,mid,51,71088,bot,99,69029,sup,81,62492,bot,38,57926,mid,133,53773,top,15,53749,bot,23,42334,top,75,25978,top,33,21347,jg,91,14360,jg
55,181905,mid,84,95732,top,69,69047,mid,555,51445,sup,67,47131,bot,103,43613,mid,39,33446,top,41,31306,top,81,28221,bot,50,26372,sup,20,26231,jg,163,25985,jg,76,25098,jg,235,23665,sup,119,20308,bot
37,81141,sup,51,76737,bot,15,52186,bot,427,50633,jg,90,32145,mid,21,29519,bot,117,29432,sup,99,29040,sup,69,5386,mid,103,4292,mid,30,2982,jg,141,2634,jg,133,1386,top,85,812,top,106,673,top
64,50154,jg,412,36613,sup,104,35782,jg,81,31558,bot,523,26722,bot,245,26111,jg,875,25607,top,53,17377,sup,126,16361,top,432,15888,sup,517,13997,mid,777,13667,mid,164,12151,top,202,11671,bot,142,7157,mid
245,197815,jg,20,51081,jg,113,44566,jg,12,43257,sup,89,31088,sup,79,25643,top,412,20953,sup,115,18233,bot,82,15921,top,360,15176,bot,13,15116,mid,202,11147,bot,266,10866,top,4,8364,mid,142,5042,mid
238,45383,mid,164,39399,top,86,38682,top,81,32766,bot,121,30199,jg,11,26755,jg,64,21425,jg,92,20377,top,157,20376,mid,202,17419,bot,51,16537,bot,3,16083,mid,412,15777,sup,80,10746,sup,147,7675,sup
67,71529,bot,81,67617,bot,157,63808,mid,55,53346,mid,412,51663,sup,64,46940,jg,222,43722,bot,76,39422,jg,4,37071,mid,101,31823,sup,53,29635,sup,60,27701,jg,41,26111,top,92,19787,top,10,18069,top
157,160688,mid,238,68615,mid,517,53748,mid,39,43542,top,64,29826,jg,84,28478,top,245,24201,jg,875,23771,top,236,22948,bot,555,22111,sup,104,14180,jg,360,13161,bot,412,12476,sup,22,11979,bot,53,10046,sup
81,138828,bot,67,127724,bot,245,96980,jg,7,91112,mid,157,81032,mid,51,71696,bot,99,69949,sup,64,61684,jg,63,45133,sup,101,43250,sup,85,40804,top,103,36731,mid,76,36618,jg,39,32223,top,92,21077,top
67,261341,bot,202,164781,bot,122,109457,top,161,88005,sup,236,84971,bot,53,56234,sup,201,37632,sup,86,35492,top,104,33992,jg,75,32339,top,112,28062,mid,64,24226,jg,8,19077,mid,245,17726,jg,777,15164,mid
145,268715,bot,236,130647,bot,81,114239,bot,245,113950,jg,157,63802,mid,111,54577,sup,64,51304,jg,89,50491,sup,56,49201,jg,235,30724,sup,85,25867,top,4,22580,mid,84,19705,top,105,19106,mid,92,17947,top
223,110178,top,26,105367,sup,96,100641,bot,17,97281,top,202,69863,bot,81,68620,bot,120,67612,jg,54,62356,top,432,57376,sup,141,54658,jg,25,45323,sup,48,44187,jg,45,18861,mid,157,15611,mid,34,7695,mid
64,392928,jg,412,303601,sup,81,159391,bot,67,151830,bot,157,141419,mid,238,74941,mid,53,74254,sup,555,67855,sup,104,65590,jg,202,63004,bot,3,51673,mid,245,48870,jg,85,48532,top,98,45564,top,875,45544,top
412,277337,sup,107,119354,top,53,103032,sup,111,100938,sup,64,60669,jg,81,59773,bot,76,48755,jg,103,39148,mid,236,38732,bot,104,29106,jg,67,24671,bot,112,24515,mid,114,23126,top,61,22749,mid,68,18725,top
64,88898,jg,86,49826,top,104,36949,jg,79,31225,top,2,27551,jg,57,22234,sup,81,21505,bot,54,19007,top,236,14356,bot,12,9854,sup,110,8726,bot,3,7518,mid,117,5320,sup,61,4029,mid,42,3629,mid
53,69023,sup,412,68318,sup,58,62714,top,202,57027,bot,555,45818,sup,157,34579,mid,266,34501,top,81,31389,bot,84,28107,top,236,27104,bot,59,19728,jg,7,19579,mid,20,16622,jg,13,11922,mid,64,9796,jg
523,216019,bot,145,213847,bot,67,174339,bot,235,96930,sup,69,85206,mid,13,76551,mid,517,73980,mid,107,53256,top,41,51293,top,30,31611,jg,126,31583,top,76,31030,jg,234,27865,jg,201,22192,sup,412,16006,sup
53,84219,sup,122,76408,top,24,59853,top,64,55383,jg,157,53633,mid,12,48896,sup,238,47568,mid,81,42809,bot,11,34804,jg,412,31685,sup,5,29140,jg,54,28672,top,67,23608,bot,55,19937,mid,236,18978,bot
157,614303,mid,81,236144,bot,64,168951,jg,202,156194,bot,238,104614,mid,222,93296,bot,235,88261,sup,412,84356,sup,104,83246,jg,103,73500,mid,53,67308,sup,76,61967,jg,41,57099,top,114,48117,top,150,40989,top
157,279233,mid,238,124400,mid,86,114313,top,517,89302,mid,84,37114,top,122,27427,top,236,20316,bot,80,20166,sup,429,19632,bot,53,16946,sup,19,15969,jg,523,13247,bot,412,13152,sup,104,12291,jg,48,10495,jg
122,502809,top,6,112375,top,14,85287,top,57,41164,sup,104,38377,jg,81,36388,bot,35,29750,jg,202,27945,bot,64,27482,jg,13,26044,mid,360,24224,bot,38,21343,mid,235,20060,sup,8,18146,mid,497,11290,sup
24,99045,top,157,80959,mid,21,47423,bot,92,43507,top,150,39200,top,777,38075,mid,105,26507,mid,876,26298,jg,81,24638,bot,22,22715,bot,35,17867,jg,57,17462,sup,62,13436,jg,89,11936,sup,117,10205,sup
122,167251,top,82,96283,top,420,55042,top,120,45338,jg,236,40365,bot,235,34568,sup,8,34362,mid,111,31285,sup,50,29714,sup,3,21848,mid,51,15281,bot,104,14711,jg,4,13488,mid,67,13330,bot,48,11434,jg
101,221315,sup,61,218260,mid,67,135264,bot,34,126942,mid,51,108850,bot,32,108409,sup,81,105342,bot,238,86993,mid,99,84831,sup,64,76195,jg,92,67742,top,11,61902,jg,85,51896,top,14,46670,top,35,44509,jg
62,2082060,jg,103,616124,mid,163,164566,jg,64,143226,jg,236,89559,bot,79,50439,top,112,39137,mid,238,32563,mid,67,31801,bot,53,14735,sup,36,14561,top,81,11796,bot,25,6152,sup,32,3197,sup,122,2859,top
45,565645,mid,245,490397,jg,35,196911,jg,142,175275,mid,17,154797,top,99,142563,sup,432,124111,sup,555,93526,sup,157,91626,mid,75,88030,top,202,80836,bot,11,80104,jg,420,56673,top,115,36070,bot,81,30513,bot
33,235420,jg,11,221174,jg,157,185377,mid,234,65782,jg,122,43362,top,875,37433,top,84,32958,top,32,22456,sup,777,19841,mid,360,14332,bot,236,8851,bot,81,8555,bot,711,7203,mid,80,6280,sup,412,2217,sup
236,98261,bot,84,76449,top,145,67427,bot,202,65202,bot,238,40455,mid,235,31794,sup,166,26343,mid,7,22169,mid,104,20249,jg,91,7964,jg,25,7765,sup,80,6058,sup,11,4628,jg,85,4091,top,10,2924,top
67,424804,bot,157,256294,mid,81,197542,bot,64,160646,jg,39,150191,top,92,112166,top,238,106045,mid,412,102629,sup,107,81617,top,105,73306,mid,76,55081,jg,101,40102,sup,145,38534,bot,555,38066,sup,121,35193,jg
236,57525,bot,81,57420,bot,103,52976,mid,104,52089,jg,202,47887,bot,112,38132,mid,64,23596,jg,53,22597,sup,6,22063,top,76,20710,jg,157,20166,mid,235,18576,sup,114,12041,top,555,11798,sup,54,11519,top
