Champion1,Mastery1,Lane1,Champion2,Mastery2,Lane2,Champion3,Mastery3,Lane3,Champion4,Mastery4,Lane4,Champion5,Mastery5,Lane5,Champion6,Mastery6,Lane6,Champion7,Mastery7,Lane7,Champion8,Mastery8,Lane8,Champion9,Mastery9,Lane9,Champion10,Mastery10,Lane10,Champion11,Mastery11,Lane11,Champion12,Mastery12,Lane12,Champion13,Mastery13,Lane13,Champion14,Mastery14,Lane14,Champion15,Mastery15,Lane15
92,62064,top,86,57481,top,157,55662,mid,117,55582,sup,412,52790,sup,81,50528,bot,54,34981,top,64,30762,jg,7,30366,mid,76,28359,jg,89,26665,sup,154,24935,jg,51,24728,bot,236,24672,bot,517,21323,mid
99,273178,sup,145,65817,bot,350,46401,sup,360,46058,bot,81,41055,bot,34,37094,mid,412,36292,sup,876,26804,jg,11,23838,jg,64,22595,jg,39,18730,top,17,18121,top,106,14920,top,517,13288,mid,103,10899,mid
55,76439,mid,39,47186,top,245,32657,jg,11,30467,jg,35,26501,jg,122,25260,top,157,24086,mid,145,23237,bot,517,22396,mid,114,18824,top,81,18554,bot,22,9083,bot,555,8908,sup,412,8594,sup,235,6435,sup
62,188731,jg,11,105197,jg,54,87219,top,24,85491,top,110,68539,bot,80,44803,sup,64,39721,jg,12,32844,sup,84,26952,top,89,21938,sup,67,13940,bot,8,9899,mid,112,5456,mid,22,5322,bot,7,2432,mid
517,44746,mid,777,36137,mid,136,32532,mid,24,26551,top,141,25669,jg,412,24927,sup,516,21805,top,91,15082,jg,50,14059,sup,875,13772,top,234,13568,jg,63,12663,sup,21,11678,bot,67,10538,bot,22,10501,bot
20,149820,jg,80,118246,sup,516,86234,top,360,54850,bot,21,43976,bot,32,42234,sup,875,36320,top,81,26666,bot,89,17185,sup,157,14546,mid,154,13558,jg,54,13079,top,11,9678,jg,238,6839,mid,777,4660,mid
53,125982,sup,54,123891,top,81,63222,bot,63,46125,sup,223,39847,top,75,37292,top,56,36959,jg,236,30204,bot,89,30072,sup,11,29227,jg,5,26860,jg,105,22721,mid,222,19087,bot,103,13591,mid,3,12838,mid
141,42222,jg,777,37202,mid,122,32336,top,58,32209,top,157,30914,mid,516,30490,top,517,24414,mid,20,22786,jg,53,17763,sup,81,13962,bot,64,11948,jg,12,10701,sup,67,9826,bot,22,9133,bot,111,7058,sup
84,180730,top,238,104269,mid,517,66943,mid,157,54852,mid,64,36136,jg,202,25360,bot,106,24696,top,236,24481,bot,875,24281,top,67,21182,bot,234,19834,jg,53,19301,sup,555,15117,sup,11,12251,jg,80,12052,sup
99,79956,sup,17,76125,top,350,74247,sup,28,39518,jg,117,35423,sup,34,22653,mid,142,22205,mid,54,19406,top,39,18688,top,45,17104,mid,67,16922,bot,21,15279,bot,360,14417,bot,20,13306,jg,35,12879,jg
39,124379,top,360,81774,bot,53,52252,sup,157,51545,mid,84,38489,top,55,38072,mid,78,35726,jg,246,33373,mid,91,20658,jg,555,17253,sup,145,15432,bot,154,13798,jg,122,13314,top,99,11852,sup,236,11770,bot
350,84698,sup,555,78445,sup,81,73901,bot,875,50869,top,157,50544,mid,497,44382,sup,777,44240,mid,11,29874,jg,166,20670,mid,106,18452,top,17,17264,top,20,13375,jg,234,13208,jg,202,11284,bot,236,11159,bot
39,206906,top,360,147746,bot,11,111697,jg,80,95679,sup,875,65775,top,81,51881,bot,67,33965,bot,234,30181,jg,89,29040,sup,54,28420,top,711,21277,mid,99,15016,sup,13,8456,mid,62,7668,jg,7,7290,mid
19,102093,jg,875,86606,top,75,57999,top,24,40049,top,81,38364,bot,53,35601,sup,141,33886,jg,32,28523,sup,21,26298,bot,11,20282,jg,111,14745,sup,103,13261,mid,236,12541,bot,517,8789,mid,4,6469,mid
875,114756,top,555,85648,sup,35,52276,jg,234,43321,jg,81,40325,bot,157,34762,mid,84,25391,top,121,21936,jg,74,19902,top,21,19048,bot,99,14806,sup,101,13449,sup,15,12498,bot,166,10480,mid,105,9593,mid
101,103173,sup,254,63819,jg,86,53303,top,875,42173,top,517,34759,mid,51,30763,bot,82,27834,top,412,20602,sup,50,18406,sup,360,16104,bot,110,12052,bot,157,8283,mid,245,8001,jg,120,7718,jg,777,4969,mid
157,116227,mid,39,53142,top,555,50801,sup,238,46136,mid,64,45499,jg,55,41778,mid,234,30072,jg,84,27927,top,141,25962,jg,81,18498,bot,53,18181,sup,67,15467,bot,54,13267,top,360,13140,bot,101,12227,sup
131,102143,jg,25,94719,sup,161,94420,sup,20,82796,jg,57,56313,sup,74,43032,top,154,22346,jg,22,20521,bot,45,17103,mid,103,13839,mid,54,13305,top,115,10807,bot,90,10315,mid,222,9330,bot,39,8287,top
498,169812,bot,25,128033,sup,22,121543,bot,235,99434,sup,110,84241,bot,99,78762,sup,17,78564,top,203,62467,jg,518,50633,mid,90,47774,mid,876,16461,jg,20,15218,jg,126,7814,top,85,7395,top,103,4172,mid
107,503427,top,222,190513,bot,122,125678,top,238,120688,mid,64,106522,jg,81,102265,bot,157,84554,mid,11,79371,jg,516,79084,top,67,76045,bot,53,74239,sup,56,42516,jg,777,35030,mid,99,20335,sup,101,18647,sup
53,98764,sup,101,54586,sup,14,45490,top,111,45054,sup,82,41087,top,36,40441,top,33,21679,jg,72,18998,jg,5,18832,jg,202,14716,bot,518,14345,mid,34,12272,mid,3,11813,mid,236,4302,bot,96,3876,bot
141,78299,jg,134,45872,mid,236,26504,bot,875,22817,top,64,22783,jg,81,19087,bot,517,18125,mid,84,14415,top,54,13840,top,131,13439,jg,157,12099,mid,53,10643,sup,80,8234,sup,51,4897,bot,555,3318,sup
39,287652,top,55,57226,mid,875,49012,top,157,43657,mid,84,39201,top,202,35900,bot,89,34865,sup,28,30654,jg,20,30500,jg,53,25153,sup,523,25129,bot,32,22580,sup,81,21303,bot,777,20967,mid,64,20050,jg
86,482872,top,25,232584,sup,32,103476,sup,53,95712,sup,64,56523,jg,84,55800,top,36,55691,top,81,40967,bot,236,26132,bot,157,24832,mid,517,23151,mid,20,21116,jg,18,15624,bot,154,10672,jg,777,6049,mid
517,155634,mid,103,117336,mid,412,59643,sup,13,37389,mid,234,36680,jg,143,33424,sup,236,29809,bot,89,25916,sup,84,16134,top,56,15324,jg,59,14209,jg,58,13733,top,54,13646,top,81,7986,bot,22,4933,bot
429,35990,bot,22,29628,bot,81,27611,bot,64,23783,jg,517,22169,mid,875,15606,top,157,14871,mid,131,14686,jg,245,14547,jg,412,12617,sup,134,12428,mid,82,11124,top,80,10844,sup,420,10402,top,235,6025,sup
412,51627,sup,360,42158,bot,67,34904,bot,53,29442,sup,266,27063,top,12,25603,sup,51,25238,bot,78,24975,jg,55,19123,mid,517,16991,mid,875,15506,top,98,15280,top,62,14581,jg,4,13811,mid,11,12153,jg
81,38711,bot,111,35747,sup,157,32058,mid,875,29646,top,84,27609,top,64,27463,jg,53,25495,sup,106,18808,top,80,15810,sup,20,14124,jg,777,12704,mid,517,12600,mid,234,12369,jg,22,7621,bot,202,7191,bot
