Champion1,Mastery1,Lane1,Champion2,Mastery2,Lane2,Champion3,Mastery3,Lane3,Champion4,Mastery4,Lane4,Champion5,Mastery5,Lane5,Champion6,Mastery6,Lane6,Champion7,Mastery7,Lane7,Champion8,Mastery8,Lane8,Champion9,Mastery9,Lane9,Champion10,Mastery10,Lane10,Champion11,Mastery11,Lane11,Champion12,Mastery12,Lane12,Champion13,Mastery13,Lane13,Champion14,Mastery14,Lane14,Champion15,Mastery15,Lane15
412,244212,sup,43,115079,sup,12,105005,sup,3,77615,mid,150,68350,top,133,34389,top,202,29431,bot,68,29401,top,59,24824,jg,22,19194,bot,29,14283,bot,142,14162,mid,64,14158,jg,13,12831,mid,5,12585,jg
236,108316,bot,523,77581,bot,157,73418,mid,245,72115,jg,360,47720,bot,238,47289,mid,39,40369,top,61,39277,mid,84,38466,top,64,33726,jg,164,33314,top,235,33190,sup,104,23182,jg,89,11939,sup,99,11770,sup
517,68402,mid,84,43844,top,245,31713,jg,238,30833,mid,7,24764,mid,76,17520,jg,104,14875,jg,39,13840,top,67,11592,bot,81,11329,bot,80,8286,sup,23,7718,top,236,7514,bot,12,3378,sup,235,1829,sup
36,288111,top,2,280920,jg,24,176685,top,11,151203,jg,121,110013,jg,86,104461,top,80,56940,sup,12,50702,sup,89,42883,sup,81,26972,bot,55,8579,mid,51,5777,bot,3,3607,mid,21,3549,bot,112,1744,mid
518,216470,mid,421,148518,jg,498,147366,bot,350,116630,sup,131,114402,jg,53,111339,sup,103,100046,mid,412,87348,sup,516,84497,top,22,76892,bot,1,74297,mid,154,71829,jg,81,64681,bot,83,46926,top,54,34360,top
14,146010,top,107,111026,top,55,91617,mid,202,77852,bot,154,45514,jg,235,41051,sup,141,33038,jg,84,30593,top,90,30048,mid,72,29726,jg,22,21170,bot,50,19899,sup,412,19708,sup,67,15718,bot,34,15487,mid
89,219440,sup,57,97431,sup,267,47168,sup,54,32629,top,31,17993,top,45,17486,mid,30,15772,jg,420,13103,top,22,11558,bot,21,7333,bot,13,7277,mid,1,6222,mid,56,5967,jg,48,5362,jg,221,3865,bot
99,263272,sup,518,187594,mid,37,127938,sup,17,122541,top,143,107015,sup,1,70053,mid,45,38179,mid,76,30770,jg,35,26343,jg,54,25704,top,164,24573,top,21,22653,bot,22,21376,bot,498,21162,bot,9,13053,jg
875,614263,top,555,447922,sup,86,204754,top,234,130554,jg,141,92831,jg,19,55041,jg,166,46301,mid,106,42719,top,711,35415,mid,517,22509,mid,53,21848,sup,51,20950,bot,21,16859,bot,99,3826,sup,81,3660,bot
238,62863,mid,517,54876,mid,39,45083,top,84,40424,top,56,39187,jg,360,37471,bot,7,36233,mid,82,30217,top,145,23071,bot,64,22748,jg,81,22312,bot,53,21567,sup,104,19628,jg,57,16992,sup,80,16673,sup
26,146232,sup,21,122581,bot,80,69193,sup,7,61501,mid,234,58049,jg,517,46346,mid,29,43684,bot,114,39994,top,17,39314,top,91,37722,jg,268,37705,mid,67,35559,bot,56,34298,jg,84,23878,top,555,13225,sup
84,222962,top,157,83172,mid,7,77090,mid,39,76031,top,517,75937,mid,236,61408,bot,64,43645,jg,245,38253,jg,99,31377,sup,360,29884,bot,81,29254,bot,875,25319,top,91,20048,jg,111,11027,sup,80,10491,sup
84,254372,top,246,155933,mid,62,107193,jg,517,99536,mid,50,96764,sup,875,78067,top,91,61180,jg,98,44599,top,8,44244,mid,80,35828,sup,81,12424,bot,236,11503,bot,72,7136,jg,412,7103,sup,115,2974,bot
518,47898,mid,20,42646,jg,360,32853,bot,81,22177,bot,103,21486,mid,99,19491,sup,266,18687,top,55,17360,mid,27,16949,top,67,15842,bot,126,14383,top,30,14000,jg,117,13968,sup,11,13207,jg,25,8725,sup
11,426315,jg,24,220576,top,238,182238,mid,120,157225,jg,91,107403,jg,53,97684,sup,54,85643,top,157,69264,mid,31,49348,top,111,33910,sup,412,31763,sup,222,15425,bot,4,12047,mid,67,9676,bot,51,7405,bot
35,102289,jg,517,65932,mid,245,63715,jg,55,62842,mid,64,62160,jg,875,59825,top,238,55066,mid,84,49084,top,555,40677,sup,39,31003,top,236,18790,bot,81,17750,bot,80,14019,sup,99,13123,sup,67,12317,bot
145,109329,bot,81,68387,bot,875,67825,top,50,64868,sup,58,59258,top,84,56909,top,236,53947,bot,64,46990,jg,104,37605,jg,517,33200,mid,1,30351,mid,53,26882,sup,69,21265,mid,245,20889,jg,57,17861,sup
64,415791,jg,81,192609,bot,103,128623,mid,22,95925,bot,121,95599,jg,412,93575,sup,107,82882,top,7,78915,mid,67,77802,bot,53,75190,sup,102,66618,jg,238,55488,mid,89,49229,sup,79,22049,top,85,19793,top
64,49556,jg,81,38974,bot,67,20397,bot,412,18957,sup,53,18662,sup,22,17717,bot,25,17618,sup,875,15354,top,58,12747,top,114,12456,top,13,11516,mid,78,7166,jg,35,6481,jg,517,5982,mid,157,5704,mid
67,188342,bot,59,137662,jg,53,131403,sup,106,129887,top,89,125611,sup,64,115558,jg,157,103998,mid,412,91947,sup,22,90471,bot,84,84441,top,76,69820,jg,238,60132,mid,236,53828,bot,105,46441,mid,92,41768,top
80,102447,sup,51,78420,bot,20,73745,jg,360,71101,bot,89,56023,sup,81,49524,bot,266,42217,top,104,38315,jg,54,34592,top,516,22965,top,111,15657,sup,64,12018,jg,157,8909,mid,777,4595,mid,711,2253,mid
350,223270,sup,117,131329,sup,147,80015,sup,21,31922,bot,103,26822,mid,876,26408,jg,142,25877,mid,222,24323,bot,28,21989,jg,145,21988,bot,518,16099,mid,64,15545,jg,126,12744,top,39,10810,top,122,6876,top
81,176621,bot,110,104796,bot,145,88235,bot,63,78666,sup,8,54718,mid,104,46530,jg,412,37912,sup,10,37242,top,421,36816,jg,245,33951,jg,235,32460,sup,13,31422,mid,68,31117,top,45,27918,mid,86,24138,top
238,133193,mid,154,112203,jg,64,78807,jg,55,62215,mid,157,60513,mid,84,56031,top,39,46783,top,81,39366,bot,58,39136,top,89,26772,sup,412,26196,sup,145,26062,bot,236,24367,bot,12,22254,sup,245,20041,jg
222,460562,bot,56,402670,jg,104,264712,jg,234,163296,jg,15,98779,bot,51,93716,bot,238,62287,mid,111,53252,sup,4,44878,mid,42,38132,mid,24,31556,top,79,27308,top,40,16491,sup,32,13651,sup,54,5454,top
412,351763,sup,64,191586,jg,53,61449,sup,89,45303,sup,222,45067,bot,81,34308,bot,157,26662,mid,236,23324,bot,60,22981,jg,56,20975,jg,103,16757,mid,4,15160,mid,223,14316,top,98,12257,top,54,11897,top
81,152110,bot,112,93110,mid,68,77301,top,64,67611,jg,268,63722,mid,201,55007,sup,236,52037,bot,51,51564,bot,412,48133,sup,103,46275,mid,245,45723,jg,150,43451,top,54,43392,top,57,38117,sup,254,25561,jg
64,112306,jg,81,65141,bot,51,54881,bot,131,52653,jg,412,52029,sup,60,51255,jg,80,50675,sup,126,40865,top,34,34313,mid,134,29286,mid,22,28628,bot,99,27837,sup,17,25953,top,238,22371,mid,24,14795,top
1,721645,mid,21,432014,bot,81,307715,bot,117,244190,sup,222,223148,bot,99,80166,sup,103,78121,mid,61,69040,mid,37,52444,sup,17,52012,top,9,23103,jg,54,19066,top,76,7979,jg,10,7956,top,59,5926,jg
412,94765,sup,777,82380,mid,89,48612,sup,99,39964,sup,3,33781,mid,517,28263,mid,81,13262,bot,164,12527,top,82,12511,top,875,9307,top,203,8577,jg,22,6453,bot,104,6391,jg,222,4914,bot,20,3515,jg
412,52876,sup,111,38472,sup,64,34024,jg,12,23495,sup,126,19398,top,58,16977,top,104,15590,jg,875,15339,top,3,13251,mid,236,12923,bot,876,12185,jg,81,11679,bot,238,9922,mid,145,7613,bot,112,7573,mid
84,222187,top,516,176515,top,136,64593,mid,777,62452,mid,555,60152,sup,412,51969,sup,58,47055,top,157,38775,mid,141,34224,jg,22,29493,bot,145,28566,bot,81,23908,bot,64,21425,jg,11,20753,jg,99,8192,sup
555,149938,sup,53,148385,sup,141,87357,jg,875,80982,top,82,78701,top,84,65279,top,80,61341,sup,202,58882,bot,56,49099,jg,11,48790,jg,360,45857,bot,518,39486,mid,517,39317,mid,157,37326,mid,51,34153,bot
875,692567,top,82,49589,top,223,47971,top,555,42133,sup,157,42031,mid,141,38084,jg,80,38002,sup,64,31716,jg,20,23919,jg,53,22984,sup,81,22726,bot,45,21797,mid,517,20455,mid,22,8012,bot,202,6173,bot
86,222571,top,875,164464,top,157,74352,mid,64,53075,jg,58,44485,top,517,31686,mid,67,19280,bot,777,18035,mid,21,14356,bot,32,13159,sup,81,11958,bot,80,9278,sup,234,8368,jg,11,4734,jg,53,4625,sup
11,113827,jg,412,76903,sup,12,62579,sup,120,61322,jg,104,57958,jg,81,54512,bot,112,49829,mid,106,47769,top,127,47406,mid,53,44427,sup,31,32758,top,51,27482,bot,36,23796,top,67,20530,bot,517,16934,mid
875,102503,top,777,87693,mid,238,56888,mid,64,54594,jg,157,49531,mid,84,36647,top,82,34457,top,141,25411,jg,234,19713,jg,236,15939,bot,80,11433,sup,81,11324,bot,53,6187,sup,67,6035,bot,12,4642,sup
64,512413,jg,92,335092,top,105,138267,mid,157,120031,mid,60,110818,jg,104,97241,jg,238,90902,mid,114,73471,top,81,65052,bot,67,62131,bot,24,58799,top,51,45045,bot,43,37224,sup,432,29268,sup,412,24705,sup
268,224985,mid,131,190053,jg,164,147722,top,420,147130,top,157,110532,mid,110,108911,bot,236,103383,bot,83,100143,top,67,90142,bot,64,89883,jg,59,84211,jg,80,70788,sup,90,65095,mid,412,59187,sup,63,46960,sup
107,110285,top,81,64599,bot,3,63533,mid,64,56374,jg,50,53133,sup,58,52889,top,420,52887,top,157,47711,mid,13,41969,mid,254,28704,jg,497,24379,sup,113,23273,jg,201,23101,sup,236,16758,bot,110,14863,bot
203,155690,jg,163,81737,jg,84,38206,top,104,37353,jg,523,30960,bot,111,26377,sup,150,21602,top,126,18230,top,412,15444,sup,517,10778,mid,80,9979,sup,145,7635,bot,67,5644,bot,3,3647,mid,13,3532,mid
51,626750,bot,99,470961,sup,25,315134,sup,17,277791,top,67,217052,bot,21,192961,bot,63,139379,sup,45,100991,mid,61,60113,mid,74,52735,top,5,48320,jg,8,42214,mid,9,38147,jg,245,34850,jg,54,9822,top
81,57441,bot,21,57164,bot,202,44779,bot,17,40198,top,420,39657,top,45,37908,mid,101,28564,sup,19,28561,jg,54,28239,top,111,26675,sup,104,26187,jg,33,25700,jg,238,25004,mid,412,23156,sup,4,18485,mid
102,58001,jg,104,48806,jg,81,39523,bot,48,38612,jg,111,35784,sup,58,24681,top,54,23331,top,53,21542,sup,39,19775,top,57,15395,sup,105,10817,mid,18,8339,bot,22,7031,bot,127,2892,mid,8,1353,mid
35,443142,jg,53,135034,sup,54,42560,top,223,35779,top,20,35708,jg,555,34802,sup,111,28956,sup,141,25464,jg,106,25301,top,81,22442,bot,34,18902,mid,21,13659,bot,777,11101,mid,22,9902,bot,142,9253,mid
