Champion1,Mastery1,Lane1,Champion2,Mastery2,Lane2,Champion3,Mastery3,Lane3,Champion4,Mastery4,Lane4,Champion5,Mastery5,Lane5,Champion6,Mastery6,Lane6,Champion7,Mastery7,Lane7,Champion8,Mastery8,Lane8,Champion9,Mastery9,Lane9,Champion10,Mastery10,Lane10,Champion11,Mastery11,Lane11,Champion12,Mastery12,Lane12,Champion13,Mastery13,Lane13,Champion14,Mastery14,Lane14,Champion15,Mastery15,Lane15
157,348884,mid,61,92787,mid,777,57788,mid,99,44693,sup,236,37683,bot,21,37194,bot,202,36857,bot,141,31680,jg,75,29626,top,17,25741,top,555,22581,sup,11,20544,jg,53,18269,sup,82,15134,top,203,12191,jg
31,131424,top,85,115515,top,75,63128,top,11,62901,jg,34,61073,mid,32,56026,sup,99,44555,sup,22,35876,bot,16,32901,sup,131,27842,jg,15,19111,bot,5,18267,jg,21,14609,bot,45,8327,mid,157,2909,mid
63,108041,sup,82,107845,top,20,78229,jg,45,58356,mid,14,42294,top,555,38795,sup,22,34014,bot,222,22607,bot,99,17764,sup,11,15090,jg,54,14773,top,121,13978,jg,1,6416,mid,67,6127,bot,157,4455,mid
238,483139,mid,157,135313,mid,81,119718,bot,245,88283,jg,64,76151,jg,202,75800,bot,429,62124,bot,164,49898,top,114,49821,top,107,45638,top,55,33821,mid,121,26080,jg,555,24672,sup,161,20791,sup,53,11898,sup
105,93377,mid,21,66307,bot,24,57631,top,51,55524,bot,81,49334,bot,17,47506,top,53,34942,sup,11,29711,jg,75,28483,top,99,27337,sup,5,26862,jg,157,25700,mid,238,23405,mid,76,18107,jg,25,16719,sup
91,693205,jg,51,692509,bot,131,421887,jg,157,387169,mid,18,354747,bot,39,232518,top,202,191640,bot,141,180475,jg,105,69680,mid,238,41650,mid,98,33927,top,63,31695,sup,201,30996,sup,75,27818,top,555,24754,sup
143,623941,sup,222,232978,bot,89,115175,sup,21,114562,bot,498,96679,bot,99,76091,sup,17,30380,top,45,20753,mid,1,19721,mid,518,16046,mid,203,14321,jg,6,13488,top,74,12943,top,78,12841,jg,11,9604,jg
3,146026,mid,25,92058,sup,32,77019,sup,22,64901,bot,117,55783,sup,29,52033,bot,4,41209,mid,96,40282,bot,113,39454,jg,86,38550,top,19,27540,jg,120,23455,jg,54,17727,top,106,16812,top,134,16215,mid
18,296268,bot,96,161954,bot,29,100436,bot,17,38515,top,24,26120,top,555,21614,sup,23,21453,top,99,20980,sup,412,19220,sup,91,15196,jg,238,12039,mid,157,10934,mid,254,9459,jg,166,9339,mid,19,9299,jg
99,309819,sup,89,126273,sup,56,100669,jg,90,91846,mid,31,86730,top,235,77881,sup,203,67671,jg,76,60822,jg,518,57810,mid,10,51960,top,17,51696,top,51,45706,bot,103,43795,mid,110,43744,bot,202,37248,bot
