Champion1,Mastery1,Lane1,Champion2,Mastery2,Lane2,Champion3,Mastery3,Lane3,Champion4,Mastery4,Lane4,Champion5,Mastery5,Lane5,Champion6,Mastery6,Lane6,Champion7,Mastery7,Lane7,Champion8,Mastery8,Lane8,Champion9,Mastery9,Lane9,Champion10,Mastery10,Lane10,Champion11,Mastery11,Lane11,Champion12,Mastery12,Lane12,Champion13,Mastery13,Lane13,Champion14,Mastery14,Lane14,Champion15,Mastery15,Lane15
157,87696,mid,64,49542,jg,234,47095,jg,777,45338,mid,104,36307,jg,122,29830,top,235,23930,sup,236,18255,bot,39,16072,top,81,15761,bot,21,15285,bot,99,12287,sup,92,11319,top,517,5240,mid,80,2059,sup
81,145037,bot,202,97804,bot,222,83961,bot,235,23302,sup,7,21025,mid,114,16052,top,78,12024,jg,13,9220,mid,99,8788,sup,876,8517,jg,517,8394,mid,117,7167,sup,17,7157,top,245,6296,jg,133,5481,top
55,552630,mid,39,69230,top,84,58863,top,157,57623,mid,141,52334,jg,122,49413,top,136,47958,mid,120,32869,jg,11,25321,jg,101,20506,sup,145,18806,bot,221,16628,bot,119,16619,bot,80,9890,sup,412,3863,sup
92,639432,top,69,214795,mid,157,138851,mid,67,123934,bot,238,100845,mid,99,66204,sup,84,37785,top,222,26494,bot,53,23157,sup,64,20586,jg,102,17628,jg,107,15722,top,429,14192,bot,131,9506,jg,101,8636,sup
104,93218,jg,121,75050,jg,141,73651,jg,157,32458,mid,38,22078,mid,3,19608,mid,24,12288,top,82,11808,top,40,8525,sup,29,8496,bot,887,8424,top,80,8024,sup,32,5793,sup,81,5176,bot,22,3302,bot
67,59401,bot,60,55591,jg,120,54262,jg,64,42891,jg,517,40982,mid,81,36074,bot,85,27407,top,202,21025,bot,238,20299,mid,114,19737,top,111,19552,sup,412,18273,sup,106,16009,top,12,14779,sup,777,14281,mid
429,112069,bot,61,108951,mid,121,79355,jg,58,36467,top,238,27939,mid,145,24135,bot,54,21727,top,39,17554,top,236,14991,bot,4,12921,mid,104,10791,jg,59,10207,jg,350,8929,sup,25,8448,sup,117,6385,sup
7,183374,mid,81,92819,bot,238,65123,mid,64,56927,jg,126,56739,top,101,53432,sup,53,47444,sup,57,44762,sup,517,43104,mid,236,40522,bot,76,38673,jg,145,37119,bot,39,35064,top,79,34849,top,245,33823,jg
45,820949,mid,30,185383,jg,161,134431,sup,412,98349,sup,101,74185,sup,103,31425,mid,35,27401,jg,81,20113,bot,122,19269,top,7,15841,mid,154,15256,jg,21,11784,bot,22,10239,bot,54,5190,top,98,3878,top
203,463794,jg,141,111955,jg,10,105043,top,67,73676,bot,157,72612,mid,126,60458,top,429,57130,bot,238,53259,mid,202,41871,bot,53,36822,sup,64,34398,jg,136,28233,mid,101,28167,sup,412,27757,sup,82,25187,top
235,116223,sup,134,83566,mid,112,75323,mid,51,75077,bot,81,48162,bot,45,45553,mid,131,44081,jg,99,38067,sup,80,37572,sup,236,32714,bot,114,32478,top,56,31465,jg,54,29965,top,875,25357,top,245,18228,jg
360,61916,bot,145,47819,bot,234,36885,jg,81,30210,bot,147,29183,sup,64,27297,jg,85,26451,top,157,24098,mid,238,23656,mid,55,16860,mid,58,16225,top,54,16197,top,876,15140,jg,235,9903,sup,412,8449,sup
145,139116,bot,8,87165,mid,141,82373,jg,104,79460,jg,517,75052,mid,84,63647,top,81,63023,bot,875,62713,top,236,57752,bot,64,35849,jg,238,33451,mid,164,16467,top,80,8796,sup,99,8312,sup,350,5362,sup
8,119380,mid,105,91308,mid,777,65168,mid,11,34249,jg,98,25736,top,555,21579,sup,141,18039,jg,54,16770,top,245,14584,jg,106,12712,top,81,9857,bot,360,7939,bot,25,7800,sup,22,7277,bot,80,4285,sup
238,1158456,mid,81,291238,bot,157,267093,mid,64,237253,jg,91,234238,jg,4,228140,mid,202,215247,bot,236,146985,bot,39,115208,top,92,108745,top,412,92717,sup,84,79328,top,60,54788,jg,117,48891,sup,43,24795,sup
28,481541,jg,141,406800,jg,64,193975,jg,92,166785,top,238,114043,mid,202,60177,bot,53,59738,sup,157,59169,mid,122,46064,top,236,41917,bot,99,39653,sup,12,27787,sup,29,26717,bot,17,25813,top,7,9947,mid
96,246613,bot,133,239654,top,7,152219,mid,45,148151,mid,28,111953,jg,55,103108,mid,16,95184,sup,107,74782,top,11,71070,jg,79,62818,top,51,60339,bot,35,60166,jg,53,57139,sup,29,54219,bot,80,39333,sup
412,110966,sup,64,63831,jg,7,62391,mid,89,61360,sup,111,44769,sup,51,27974,bot,131,24814,jg,81,24196,bot,84,22841,top,126,17713,top,104,17191,jg,238,16105,mid,875,15476,top,4,14428,mid,222,12943,bot
238,166206,mid,81,165423,bot,412,148544,sup,99,138402,sup,64,135257,jg,154,99776,jg,53,90652,sup,103,66576,mid,711,62726,mid,59,57003,jg,122,54478,top,54,43135,top,236,42585,bot,875,40014,top,145,31545,bot
145,205894,bot,202,205251,bot,22,188185,bot,53,75333,sup,235,68444,sup,412,57055,sup,163,50304,jg,61,45208,mid,60,32315,jg,64,28468,jg,238,23628,mid,79,16566,top,39,15716,top,164,15533,top,8,13750,mid
