Champion1,Mastery1,Lane1,Champion2,Mastery2,Lane2,Champion3,Mastery3,Lane3,Champion4,Mastery4,Lane4,Champion5,Mastery5,Lane5,Champion6,Mastery6,Lane6,Champion7,Mastery7,Lane7,Champion8,Mastery8,Lane8,Champion9,Mastery9,Lane9,Champion10,Mastery10,Lane10,Champion11,Mastery11,Lane11,Champion12,Mastery12,Lane12,Champion13,Mastery13,Lane13,Champion14,Mastery14,Lane14,Champion15,Mastery15,Lane15
245,230904,jg,122,127802,top,84,117719,top,141,94922,jg,55,80681,mid,67,80522,bot,11,60677,jg,157,59433,mid,81,54836,bot,360,51294,bot,105,49845,mid,497,34658,sup,80,29859,sup,23,18031,top,32,10222,sup
99,146177,sup,28,123253,jg,222,120024,bot,235,73160,sup,51,69050,bot,350,68366,sup,518,59992,mid,21,57194,bot,84,44945,top,203,32988,jg,103,30375,mid,142,29815,mid,39,27370,top,131,27262,jg,114,16982,top
103,635990,mid,19,431932,jg,99,429980,sup,518,368308,mid,22,328186,bot,498,232038,bot,25,224456,sup,21,197306,bot,76,143199,jg,16,141059,sup,876,121721,jg,39,60064,top,134,40531,mid,10,20191,top,84,13313,top
238,187891,mid,555,121654,sup,41,75195,top,119,69225,bot,202,56341,bot,120,40568,jg,56,37820,jg,157,34565,mid,106,34075,top,517,33043,mid,39,29144,top,91,28615,jg,81,19804,bot,350,12296,sup,412,12233,sup
63,174118,sup,17,83955,top,22,59666,bot,5,59605,jg,32,57946,sup,51,56556,bot,67,53367,bot,61,52740,mid,11,48631,jg,133,39543,top,24,32339,top,56,30668,jg,25,24535,sup,777,24326,mid,3,15033,mid
157,108123,mid,222,74619,bot,266,61418,top,62,57611,jg,141,56920,jg,25,45062,sup,64,43511,jg,84,33354,top,268,32089,mid,17,27924,top,51,23417,bot,18,23369,bot,1,19303,mid,99,17699,sup,57,10428,sup
157,141486,mid,234,73362,jg,60,64086,jg,91,54691,jg,67,48967,bot,145,39960,bot,115,29505,bot,23,23302,top,8,23013,mid,246,18490,mid,161,11386,sup,107,10753,top,84,9193,top,32,7253,sup,99,5959,sup
555,66569,sup,141,47300,jg,875,39842,top,101,35413,sup,246,35384,mid,517,34662,mid,121,32585,jg,234,26396,jg,23,24560,top,84,24404,top,518,23343,mid,360,21475,bot,99,20112,sup,523,13696,bot,81,12070,bot
157,205184,mid,11,95728,jg,555,54154,sup,55,51714,mid,23,44606,top,517,37579,mid,91,35139,jg,141,32953,jg,92,28757,top,107,26357,top,29,23390,bot,67,20338,bot,119,20183,bot,89,13532,sup,350,13342,sup
20,60800,jg,21,50176,bot,33,47856,jg,516,46819,top,86,32359,top,22,17360,bot,120,16837,jg,235,16558,sup,99,15437,sup,74,13840,top,45,13630,mid,63,12208,sup,1,11553,mid,8,8706,mid,110,7716,bot
238,213506,mid,498,185460,bot,84,83471,top,51,77311,bot,236,71648,bot,64,67088,jg,103,55479,mid,7,50166,mid,875,43849,top,39,36417,top,131,36038,jg,91,29984,jg,80,12864,sup,43,7050,sup,99,6760,sup
86,257503,top,29,101124,bot,11,63862,jg,10,42379,top,18,31642,bot,15,30460,bot,99,22661,sup,84,22136,top,104,11229,jg,62,8789,jg,103,7349,mid,80,3623,sup,235,2812,sup,42,2200,mid,166,1242,mid
103,185344,mid,84,87308,top,266,86192,top,245,72454,jg,145,70221,bot,126,63739,top,523,60403,bot,141,46414,jg,238,45830,mid,518,39978,mid,99,37097,sup,113,33609,jg,81,28467,bot,25,25278,sup,235,9828,sup
86,66133,top,21,36988,bot,54,28883,top,63,28049,sup,16,27017,sup,111,26920,sup,3,24441,mid,45,23135,mid,1,20949,mid,31,20008,top,15,19506,bot,115,16907,bot,113,14655,jg,102,14374,jg,20,13698,jg
202,239902,bot,145,65866,bot,75,48473,top,157,41103,mid,360,39422,bot,38,27797,mid,86,21990,top,107,21950,top,4,18814,mid,80,16922,sup,412,14287,sup,19,13920,jg,64,11327,jg,63,10943,sup,102,7261,jg
157,151325,mid,84,144340,top,99,127501,sup,11,86755,jg,238,75384,mid,67,49681,bot,141,48656,jg,876,44043,jg,777,38092,mid,92,26546,top,107,25863,top,523,24985,bot,555,23563,sup,51,21755,bot,63,17240,sup
523,44407,bot,777,42158,mid,84,29000,top,67,24087,bot,24,23031,top,55,22331,mid,114,22095,top,145,17395,bot,157,13586,mid,11,12349,jg,19,9914,jg,876,9639,jg,101,4457,sup,99,3930,sup,201,2721,sup
