Champion1,Mastery1,Lane1,Champion2,Mastery2,Lane2,Champion3,Mastery3,Lane3,Champion4,Mastery4,Lane4,Champion5,Mastery5,Lane5,Champion6,Mastery6,Lane6,Champion7,Mastery7,Lane7,Champion8,Mastery8,Lane8,Champion9,Mastery9,Lane9,Champion10,Mastery10,Lane10,Champion11,Mastery11,Lane11,Champion12,Mastery12,Lane12,Champion13,Mastery13,Lane13,Champion14,Mastery14,Lane14,Champion15,Mastery15,Lane15
245,134102,jg,41,86866,top,141,76763,jg,84,75865,top,35,70493,jg,157,68556,mid,202,62987,bot,55,59678,mid,238,52163,mid,29,45033,bot,145,43193,bot,107,36913,top,497,36183,sup,555,25974,sup,412,12688,sup
104,120472,jg,157,38275,mid,238,32737,mid,17,29327,top,81,26251,bot,266,22248,top,5,21527,jg,122,19287,top,222,19179,bot,235,18364,sup,19,16764,jg,67,15687,bot,45,15617,mid,99,14945,sup,555,8858,sup
202,177116,bot,84,173363,top,28,124299,jg,121,123194,jg,497,64915,sup,145,53813,bot,236,52859,bot,412,49986,sup,246,49805,mid,142,46843,mid,17,41048,top,114,32598,top,60,28056,jg,105,27162,mid,432,22852,sup
157,248919,mid,245,162890,jg,84,121161,top,81,98109,bot,39,96754,top,141,93281,jg,555,82921,sup,103,76254,mid,99,75915,sup,246,68562,mid,145,55536,bot,122,48639,top,28,38167,jg,235,37755,sup,202,37209,bot
101,304624,sup,142,208182,mid,202,138830,bot,57,111947,sup,50,108900,sup,266,106618,top,110,80190,bot,6,59226,top,518,45943,mid,112,40925,mid,2,40613,jg,82,35151,top,245,16542,jg,21,15264,bot,30,10909,jg
234,232866,jg,420,176022,top,36,171750,top,5,110417,jg,122,90689,top,202,78392,bot,67,73047,bot,19,53066,jg,99,33010,sup,63,30545,sup,81,30116,bot,8,27797,mid,555,22502,sup,45,21357,mid,157,15213,mid
3,56751,mid,16,40433,sup,432,33547,sup,40,31379,sup,68,28591,top,83,28361,top,31,28308,top,78,18394,jg,77,14360,jg,8,6144,mid,103,5829,mid,33,5656,jg,51,3078,bot,202,1537,bot,22,1535,bot
67,182156,bot,145,78689,bot,39,54812,top,22,51843,bot,131,49733,jg,777,47266,mid,133,44560,top,84,43945,top,238,42007,mid,105,34194,mid,555,30055,sup,235,27387,sup,203,24339,jg,99,23879,sup,28,17393,jg
267,359995,sup,147,83379,sup,143,79192,sup,518,51410,mid,103,51141,mid,76,19836,jg,21,19450,bot,1,19026,mid,22,15618,bot,85,15015,top,498,13053,bot,30,10868,jg,131,8721,jg,74,3255,top,24,2841,top
147,167870,sup,16,163592,sup,99,161542,sup,103,95744,mid,360,62259,bot,28,59188,jg,498,57902,bot,51,48982,bot,518,46752,mid,876,43661,jg,84,43071,top,10,29607,top,1,23776,mid,17,23600,top,131,19329,jg
11,227969,jg,18,160583,bot,19,108433,jg,56,41591,jg,82,37189,top,105,36603,mid,164,31770,top,266,29818,top,350,21815,sup,22,21284,bot,80,11782,sup,777,10066,mid,555,9699,sup,360,3164,bot,157,3146,mid
103,156891,mid,55,132349,mid,25,111165,sup,21,105031,bot,99,89364,sup,84,87281,top,40,66028,sup,22,53768,bot,67,43145,bot,131,33885,jg,28,33000,jg,39,30199,top,142,20815,mid,122,16930,top,76,10590,jg
99,179972,sup,103,117552,mid,235,60131,sup,5,35776,jg,16,34799,sup,11,27121,jg,82,26464,top,498,21823,bot,10,21518,top,17,17319,top,517,10666,mid,202,10647,bot,22,6396,bot,268,5862,mid,234,5536,jg
99,337880,sup,147,193580,sup,25,78044,sup,21,66551,bot,134,65469,mid,103,64918,mid,518,63795,mid,51,32730,bot,15,29799,bot,28,21265,jg,10,16265,top,133,13898,top,78,13582,jg,876,11938,jg,39,9555,top
21,36692,bot,86,33387,top,103,32568,mid,222,31739,bot,131,30295,jg,75,29145,top,15,25605,bot,11,25570,jg,6,23493,top,102,20943,jg,45,20615,mid,8,17388,mid,63,14603,sup,57,14600,sup,412,11365,sup
163,80047,jg,203,75009,jg,13,67725,mid,55,63487,mid,11,50835,jg,24,50817,top,119,45326,bot,8,42385,mid,22,40794,bot,10,31651,top,122,29338,top,80,26186,sup,81,25931,bot,25,9489,sup,99,8617,sup
18,222022,bot,236,165132,bot,498,159632,bot,80,58440,sup,14,57464,top,235,53235,sup,31,46616,top,106,45336,top,91,36414,jg,45,34421,mid,25,33035,sup,19,32854,jg,104,27513,jg,42,24096,mid,134,23773,mid
497,157988,sup,412,84173,sup,350,80645,sup,875,76402,top,64,65145,jg,145,48843,bot,223,36071,top,48,32300,jg,84,30276,top,22,30066,bot,113,25975,jg,61,25266,mid,157,22205,mid,81,22033,bot,134,15179,mid
875,73426,top,157,64347,mid,104,36199,jg,41,35672,top,48,28996,jg,164,28851,top,236,22318,bot,235,14390,sup,238,11171,mid,80,10526,sup,5,10140,jg,350,7446,sup,21,7336,bot,22,6018,bot,711,4383,mid
86,229056,top,11,210037,jg,202,71020,bot,22,63271,bot,36,61636,top,53,58410,sup,122,50217,top,63,47197,sup,222,42583,bot,157,31695,mid,5,30658,jg,80,29632,sup,62,22075,jg,105,20648,mid,103,9060,mid
119,170154,bot,51,122571,bot,81,105750,bot,245,80674,jg,19,42615,jg,35,35558,jg,875,30484,top,32,24292,sup,99,21048,sup,36,19645,top,107,18122,top,53,15324,sup,157,7867,mid,103,6087,mid,105,4794,mid
141,191078,jg,133,163235,top,59,153698,jg,81,120632,bot,25,85828,sup,113,58935,jg,22,53121,bot,99,41275,sup,101,39471,sup,98,31230,top,517,23398,mid,420,19303,top,3,13119,mid,8,7544,mid,29,6131,bot
81,233184,bot,101,161972,sup,143,139170,sup,121,50611,jg,131,42907,jg,51,41141,bot,112,38853,mid,222,36064,bot,34,34950,mid,30,33298,jg,75,23700,top,42,22127,mid,41,20871,top,68,20452,top,63,19281,sup
99,122331,sup,202,111026,bot,55,109222,mid,89,94824,sup,222,93244,bot,39,91694,top,412,78771,sup,51,75229,bot,518,74961,mid,10,56923,top,103,49261,mid,245,33740,jg,876,33694,jg,91,33153,jg,84,28091,top
