Champion1,Mastery1,Champion2,Mastery2,Champion3,Mastery3,Champion4,Mastery4,Champion5,Mastery5
81,44871,51,43574,39,40317,236,38807,84,36095
432,208508,45,145002,134,48922,89,43542,154,38578
55,83616,157,40800,164,33883,8,33482,38,31423
122,1614868,39,898942,157,341544,84,150536,202,106143
101,230184,37,55158,69,48287,161,43951,103,27028
223,221760,86,219755,17,172184,53,137289,106,88344
238,456112,777,81539,10,52589,101,48093,161,41389
236,93150,238,58485,84,47802,157,42878,81,37943
498,1567202,101,546405,143,342409,99,127207,15,27983
202,140904,145,133356,203,92196,2,78571,236,69486
145,605127,81,297992,236,157358,21,102318,517,73586
268,96082,30,62443,126,52932,131,43070,115,37360
266,420448,119,335917,75,112969,223,104063,82,92324
164,92492,126,81120,84,40523,121,31299,517,26222
64,203801,76,81768,104,68951,238,63729,81,61727
81,319598,145,255913,84,228027,236,111484,157,98980
145,117580,235,105229,21,98021,81,84922,523,53977
51,172749,145,119604,67,99669,81,61798,22,55967
11,645779,141,223364,202,144259,234,87076,360,70795
104,148811,5,135615,121,42969,80,40397,113,35966
107,152658,11,67223,64,56605,76,48847,104,47785
119,220014,81,52515,30,42389,15,31083,236,25760
11,642320,120,203924,19,152232,59,75385,98,74724
81,181521,131,167067,222,157639,235,93763,117,82157
23,163812,24,91853,67,47827,2,26107,13,22042
235,576401,25,127609,20,102886,26,81951,113,71741
266,141980,105,97074,3,82785,166,71242,80,45993
10,855034,39,119456,202,88454,102,81782,267,78233
266,332636,82,161242,54,127240,58,98694,875,62794
141,500934,11,277463,86,214162,555,182660,122,137602
101,1067296,238,128563,161,115994,4,52640,91,50031
245,237881,8,160420,38,57118,777,31308,157,29398
35,75045,101,48628,107,30693,64,28797,2,24936
122,106334,17,92880,157,78728,51,74680,82,58729
77,199332,75,175446,8,133508,164,127166,245,68977
34,92575,40,72362,67,57538,51,34732,8,32872
99,336130,555,305174,91,249677,498,111579,141,108851
92,388061,164,49983,40,42938,98,35532,86,34209
114,79158,68,64711,11,48955,110,45355,42,44538
67,102051,64,57473,81,42858,14,41784,92,32377
24,706642,23,110362,105,74007,887,28636,17,26157
102,124097,517,92413,104,79210,121,76552,875,75263
51,481558,145,268727,222,215319,81,125025,67,107679
121,345955,35,241209,141,195964,64,168740,104,166853
45,66040,31,42577,777,38488,1,36017,202,35833
154,309730,5,97618,86,61354,51,46563,80,46101
84,156182,103,126116,134,82623,157,71477,39,62386
145,606187,81,393769,51,283570,222,283368,202,271793
28,366716,103,70110,90,60667,105,53856,141,34642
141,753284,19,294771,875,255884,120,131548,104,105127
107,170134,164,130335,29,94729,55,79349,119,61678
517,230848,13,137691,3,78798,79,68394,126,61323
101,177032,20,138358,223,113140,36,76263,161,68293
121,147644,120,60511,245,43236,77,30627,60,24776
245,403013,238,194787,8,165202,29,139196,13,137386
7,159798,236,140789,145,99206,67,97101,104,95181
45,159503,63,116204,147,113865,161,100123,99,92437
91,186235,266,138268,38,110612,24,51407,107,47859
245,86365,76,78983,120,74618,107,56389,104,51734
107,805039,202,59237,238,53339,38,37906,119,32522
14,579771,17,579747,85,109769,45,69174,30,63604
350,162922,28,155648,37,118342,267,118124,55,110714
6,769593,3,410935,45,277077,136,119817,26,96777
266,910513,86,380036,36,153864,39,95584,24,84031
157,173642,29,85561,96,79488,122,78303,92,63003
21,365115,518,126100,13,110908,99,107023,39,105058
64,174993,39,148404,81,98284,157,81705,104,58825
84,1909597,498,476370,99,223433,202,161051,246,83507
122,46541,24,44122,555,36735,82,36347,245,34486
19,96539,15,91559,120,84019,141,63029,20,49324
121,381713,266,114478,245,112398,157,102235,8,82367
164,86413,517,28684,24,27102,23,23804,240,22828
38,374827,8,368715,75,149873,24,141749,112,112452
122,196255,84,179477,266,102223,103,91302,875,69704
84,167540,555,122246,107,104781,64,104660,91,97249
246,97928,79,80418,64,79963,103,51418,76,45714
23,347151,53,283840,64,67263,427,64716,79,60525
420,180827,56,133153,86,115613,238,115011,91,83749
115,1243278,68,599762,131,259123,42,153340,101,90209
51,292163,81,134494,145,131636,202,114154,22,103602
145,114410,360,63475,81,55643,412,36865,236,34125
164,69424,114,43022,84,39638,24,36630,8,27571
41,186195,119,150270,81,57573,43,51519,203,50033
141,584007,104,189896,120,97907,28,94910,121,94902
526,277859,39,236406,50,190835,235,179676,523,114411
112,180828,238,170183,711,46868,131,44543,54,41916
266,195896,516,193900,887,180018,523,175790,202,141576
236,169493,67,62674,523,61677,145,46372,157,37835
25,220104,99,130660,40,130396,147,111016,17,106750
516,586158,85,484561,84,304630,39,108993,14,105412
67,138819,145,115759,81,94274,222,90528,236,67413
107,249081,29,41542,131,34296,14,33939,81,26639
202,129881,51,99599,119,90026,222,50705,81,49987
37,316360,40,283084,99,270943,21,249275,22,223262
19,347596,121,72377,555,70135,120,60136,24,53338
222,216579,555,191581,99,120774,17,111732,86,96172
92,265537,157,224957,58,182343,164,146314,777,109041
16,108618,63,77226,89,71895,7,69165,67,53951
41,240874,222,181950,145,144910,51,127707,22,115665
40,87811,103,68768,67,65642,51,56583,37,48283
141,155236,35,53892,104,51678,29,40930,121,39404
63,49712,33,48960,14,47205,77,45566,79,40558
64,167930,7,98548,81,71758,76,69862,517,51573
141,474933,104,147148,64,98055,157,94911,59,51658
236,242462,43,223582,51,138891,64,79638,81,64327
517,175937,122,94862,58,65739,86,44752,29,32811
412,46094,53,38537,117,31617,111,30397,99,26400
104,72233,13,54780,875,45427,141,44537,157,44023
202,573666,51,355752,222,252831,21,177593,22,116987
238,658454,67,252986,7,165011,81,99468,51,31612
203,316566,104,151416,107,148214,121,102175,202,55396
10,408125,266,211969,157,131520,235,73934,161,36167
64,289519,157,99408,18,82582,67,81012,11,64407
136,224340,164,161571,157,69838,7,57807,121,49951
75,165256,157,163866,234,151434,133,90336,54,89318
101,109697,99,82845,777,72800,103,71230,81,60458
240,253431,6,136711,516,90730,86,81433,23,79982
29,27239,35,24778,7,24476,45,22895,84,21621
99,497156,53,308746,37,292708,555,287635,80,149992
16,280433,350,158176,117,102980,36,88239,51,85702
51,123488,104,114032,145,113581,22,87934,67,84718
350,909729,17,219811,117,219590,147,178020,89,145118
119,385782,30,142482,145,96251,40,69086,98,53306
236,344977,67,318265,64,227702,157,188973,202,181923
31,105231,102,46755,120,45554,98,23242,2,21633
360,282582,222,260086,119,218747,17,190277,67,153364
141,99515,19,60657,121,57443,9,51657,64,51230
119,823692,81,142805,67,120415,145,107704,51,96918
81,74330,112,65678,238,57079,157,55808,517,53599
498,64182,81,32354,145,27386,236,26793,202,26468
83,184308,6,137206,2,93443,90,89547,131,67930
60,59933,412,40264,28,28339,238,26334,64,25757
145,39768,21,38095,67,34940,81,34225,51,28034
141,98115,245,93861,121,47897,234,38224,76,36309
222,49187,81,30157,236,23577,22,22325,51,21409
78,144407,39,127676,14,107060,266,95808,104,80556
101,99821,517,41940,104,39828,412,30371,41,24136
13,56407,10,48658,112,47608,110,46466,498,36859
238,710382,38,99052,777,93222,84,88759,122,78491
114,547012,76,355130,39,111887,266,93458,131,88371
11,394546,86,230383,92,163110,122,103209,81,86208
555,361422,53,87952,412,87093,12,83546,19,82028
99,169196,555,153105,89,109885,526,95796,245,85601
234,333966,141,310589,20,140471,555,98945,517,68227
412,613084,81,59689,145,54526,64,49909,875,42389
157,1001046,29,710624,63,398513,91,229837,41,205735
107,71091,104,62700,79,46508,9,46127,238,44951
267,186423,350,169796,44,152262,12,135968,201,91921
28,654912,427,174995,412,174307,103,97331,203,93758
84,1119373,360,203380,3,117615,202,110982,164,87888
154,157354,875,64857,133,53335,245,51446,131,44198
48,68470,82,58073,122,45657,19,26618,2,24615
429,305704,22,163974,145,139423,203,121508,67,112479
154,477455,26,130439,43,92003,161,76001,12,52758
163,219397,145,169402,51,154217,99,131728,25,115872
82,260449,420,193902,16,74874,43,49360,54,36588
21,581547,22,208265,15,192904,81,155442,110,144768
555,254488,157,164632,39,103447,154,74065,119,65780
84,432932,238,70061,360,54855,164,34036,104,32702
59,76548,24,57981,254,49877,19,38328,64,31976
107,151581,555,54965,55,40779,84,24717,432,23659
23,236087,238,110325,51,60999,64,49052,67,48185
106,300765,6,104757,420,95484,223,75606,36,59854
39,275019,142,221872,99,196414,103,114865,147,55978
78,172872,203,158761,876,120873,59,116527,121,79843
43,163194,33,143549,3,122475,111,108609,16,93536
86,51269,80,29456,17,29154,64,26902,157,21959
266,168409,122,110097,157,99690,875,95865,58,79831
236,187208,29,137543,67,49443,59,44809,222,43923
81,193071,67,188874,145,143490,202,85322,51,80166
147,220586,99,141599,235,49971,267,44859,43,37459
350,113252,117,74355,267,53097,99,40879,40,32594
105,1250746,39,185548,92,124799,84,67311,33,61415
35,592674,120,68881,267,55769,103,52212,99,41204
8,160444,69,114304,38,106105,7,82578,81,70414
64,541900,104,257113,76,224702,84,203264,79,133700
8,210538,157,114645,64,86220,238,69552,61,61583
238,48967,8,27525,103,25874,99,22856,58,22594
145,253688,523,235377,202,108708,81,54814,360,54200
164,83829,24,67963,120,46512,122,39078,59,37575
523,87197,222,70452,67,45635,202,45497,234,38500
111,66415,57,29643,59,27229,412,26989,89,24539
163,434489,40,141260,518,134057,432,96932,526,91393
157,258478,238,47603,103,46871,101,45610,35,44581
45,162847,29,150954,8,134535,420,114495,147,109892
99,259579,412,159065,31,120002,20,112614,19,107759
68,228163,254,141625,55,139480,3,80762,99,40126
29,42620,236,42556,145,25324,51,24404,523,23050
55,791319,84,196931,238,173269,142,150295,145,136501
141,538555,120,98763,2,64070,5,52797,121,35663
29,337000,39,314278,7,251740,28,239436,43,97006
99,219533,412,144613,235,139574,202,97323,555,88275
429,2234303,119,212359,37,201404,35,180592,121,104051
86,120679,523,101971,81,75969,517,67418,235,61088
266,144495,875,106936,82,101012,11,71319,555,67094
55,328742,67,97172,39,50995,122,48759,145,42190
157,302107,29,265219,81,117650,119,104797,202,103565
28,297030,876,194810,16,124947,267,90729,498,68439
22,449266,81,274678,145,269479,21,224900,236,191561
104,292536,64,214758,145,157487,81,147013,76,106315
111,346655,99,274998,117,252331,202,135718,63,113764
