Champion1,Mastery1,Champion2,Mastery2,Champion3,Mastery3,Champion4,Mastery4,Champion5,Mastery5
121,125675,555,119400,84,117285,91,59337,266,53947
6,389832,89,174610,86,67554,82,65736,420,57400
555,87001,518,68462,92,52845,86,50085,99,38775
20,84650,254,83913,28,82602,141,68131,121,61132
164,127349,35,103394,59,89620,141,89535,104,74448
5,259443,35,128453,555,81554,114,67246,246,56649
141,76604,81,67691,96,65561,145,62053,235,56035
143,79139,99,64490,16,59874,147,56837,267,51282
103,71105,141,48866,133,43086,28,39419,202,38668
12,82625,63,62881,36,42419,223,26996,497,24723
103,270202,131,204790,518,196204,18,109647,21,84502
11,37976,102,27761,23,25586,3,23133,157,22920
141,133292,19,44510,875,37371,121,36621,120,31602
28,105438,142,89252,10,86536,99,63614,16,51627
141,111697,19,91043,202,87933,99,63617,157,40834
147,181000,99,123391,16,83123,40,76838,43,71964
81,392845,17,328602,67,204745,141,118106,157,117663
235,298994,3,134010,22,127068,80,74375,16,44482
21,181039,22,101922,202,98052,111,94561,18,90214
157,199303,67,105019,75,89765,141,73765,86,56209
111,309883,14,280885,516,180751,113,139975,83,100503
32,210909,37,137145,25,134524,86,94941,36,64031
99,158190,16,108973,267,101700,21,95919,145,84106
21,328253,222,54025,498,50783,86,45218,67,43625
157,443963,19,258694,141,126310,11,100764,75,84528
99,47797,157,45199,51,40469,222,40236,350,34843
202,238929,145,65866,75,48473,157,41103,360,39422
157,99768,145,98313,81,87075,84,82684,236,81804
555,143238,141,71107,35,50869,19,38655,120,25184
498,210833,31,174930,51,166346,103,120679,92,83561
114,115257,75,113420,86,87743,92,84233,157,58880
157,113222,777,85630,22,54810,11,54158,875,47853
51,68670,22,50033,21,28179,15,27088,523,21095
86,81055,122,63246,45,28921,21,27848,777,25303
222,177530,202,117805,150,114141,86,109899,11,103130
15,50937,145,50233,6,43257,104,28313,81,23277
99,64534,25,40810,89,33906,22,32734,1,26684
86,92554,31,72268,41,44781,103,34428,21,27696
131,168684,16,150045,15,50216,99,44774,37,36587
202,90195,50,67321,777,33498,236,28870,35,27283
51,66172,10,61083,67,46194,166,45386,777,42551
84,53348,99,45285,142,40730,25,36750,55,32624
555,85245,11,67228,202,61716,157,50092,36,44184
23,53861,11,43594,24,36114,36,29260,122,23048
24,584901,62,60406,1,52538,21,48817,236,35493
13,57037,202,54524,25,54022,21,37399,45,35122
40,68701,267,65358,201,64786,43,63074,117,48542
350,107108,518,72757,16,63820,143,41549,37,34272
254,57765,51,48927,236,35407,163,34545,21,34519
420,135593,267,135288,117,97868,63,74414,83,39154
266,79163,6,79057,517,60301,122,58471,875,56629
84,268946,39,183884,8,171406,91,169567,81,97816
107,77068,32,51156,48,47924,98,44086,59,35569
875,35045,516,34828,5,27202,266,22749,3,22615
58,72062,23,56335,86,54906,222,54676,22,40545
875,33161,59,26373,122,25795,141,23561,2,21824
53,78621,89,68028,111,61418,99,57484,63,41242
63,100841,157,59544,17,52822,31,38378,106,37485
157,85533,84,77486,81,74048,119,65918,105,46147
1,48893,31,45925,32,42727,420,38787,45,38771
202,128507,31,109445,30,60867,75,58779,106,50603
33,371651,21,167601,15,95496,32,47791,36,42602
36,222920,141,100718,51,72908,81,38435,32,35266
14,93022,6,49505,56,49387,75,36923,150,36763
91,154743,99,77260,103,69147,1,40857,30,37580
