Champion1,Mastery1,Champion2,Mastery2,Champion3,Mastery3,Champion4,Mastery4,Champion5,Mastery5
105,545273,91,209189,102,161469,131,116445,429,94335
1,329487,134,116442,61,72382,245,45484,13,44667
875,413278,82,288833,45,253737,2,83601,555,75199
267,86144,350,83956,99,32575,235,31109,37,28376
245,208169,64,194461,131,185880,222,156767,105,153891
32,62626,81,57875,54,49001,106,46135,223,43570
141,832990,238,75428,157,69822,64,63892,131,50955
28,319538,61,144678,127,125697,134,122988,202,113440
238,581900,91,163041,777,103914,55,99057,99,79289
157,317224,7,285199,238,236842,64,182966,119,113593
107,260126,20,177800,58,83827,120,82537,28,73883
163,747810,112,96593,25,78153,69,69426,84,32084
202,173136,77,116375,106,57866,67,24037,7,22720
32,338927,11,146693,203,102519,131,71979,25,62370
157,173627,39,158521,58,117200,122,93080,517,86501
145,88525,39,86936,240,69743,82,67433,234,56001
55,464407,24,64057,121,63428,105,54690,122,50540
67,80153,236,67338,498,63711,145,56628,81,47603
777,130697,36,51939,39,43295,20,42120,82,42046
238,633859,777,247063,161,231554,106,68227,58,66328
50,218142,555,120165,99,82460,20,58190,235,55880
14,213839,157,115664,62,87279,164,73814,82,38104
202,123615,412,70159,25,39517,101,34359,64,23964
55,320109,104,105550,157,100710,145,94651,39,76138
22,48304,39,34284,122,34256,24,31043,76,26311
111,644634,25,536156,89,376469,350,189899,235,172826
63,305592,120,226662,875,91063,104,91034,432,84104
875,387318,98,286849,164,216238,104,196804,80,185169
157,296807,119,226988,64,224576,238,201731,202,177332
16,76601,78,69325,143,69131,117,67069,111,64950
555,654623,53,64627,238,62459,516,50684,81,47397
145,243146,51,167006,67,149208,81,144061,164,136937
120,122559,141,100713,114,77364,111,66896,223,61702
86,494028,24,207058,45,177561,19,167172,120,143744
86,218615,122,175472,17,148876,875,112985,75,69051
119,114605,7,73427,91,58345,238,52733,67,51328
236,168075,110,166589,523,123920,121,114150,51,112558
103,136430,7,107539,202,105381,163,101336,90,94361
157,445684,55,335571,246,312579,92,232457,245,184261
164,204189,24,153838,98,86647,58,64731,54,63751
55,380559,7,159959,121,144705,202,90327,238,75032
147,191832,222,91674,235,78437,876,73467,518,73340
