Champion1,Mastery1,Champion2,Mastery2,Champion3,Mastery3,Champion4,Mastery4,Champion5,Mastery5
92,259493,202,77515,145,63867,84,58400,55,54319
142,62565,19,60071,141,59100,11,52184,234,44068
50,138787,777,118631,157,93809,91,88226,517,84236
24,81125,143,72391,51,64240,236,57339,110,48987
157,90268,523,62252,202,39786,21,36247,131,33915
11,68802,82,60449,141,54743,104,49759,254,43692
69,337588,21,217210,133,144356,101,60317,498,44601
498,179665,21,136725,81,100593,523,97173,131,93831
555,251386,99,98706,157,92933,11,66368,131,65004
25,144804,555,100254,145,98364,22,80456,498,64243
51,566326,21,332752,45,222957,99,215561,115,131238
497,56584,5,44664,25,34364,10,27270,83,26765
86,220489,45,218638,63,207976,10,72326,62,68374
157,105805,91,75086,23,38446,133,31026,429,29527
84,237199,43,106385,91,86721,412,86515,201,52700
141,355883,35,253956,202,243821,412,97680,28,56553
6,129987,20,114759,3,72355,5,61039,53,60095
21,207847,75,125783,25,93303,86,88597,222,67707
82,126490,31,71197,9,38733,119,30858,141,28780
106,286190,222,214319,15,163172,5,75729,267,40544
35,276080,44,220225,497,159014,555,101015,31,88381
53,129239,86,106505,412,70226,25,60830,89,57046
201,152962,89,111602,111,96091,14,65927,240,65759
39,512712,11,183052,51,117197,81,88125,13,60854
107,279988,19,160199,427,116469,75,104937,17,102502
555,35414,777,33238,99,29345,141,27744,518,25787
157,248522,5,158910,11,131847,122,128119,86,124086
254,158184,110,136450,22,92998,19,59017,15,48234
238,112110,35,95053,245,61527,55,60870,157,49637
157,89772,150,86316,67,75286,23,68237,240,57495
131,195315,17,167773,23,138798,238,101849,80,90698
28,92869,31,85938,516,72689,9,59967,81,58399
31,94300,266,80143,516,69387,54,65398,1,44495
157,95888,555,62276,64,54172,5,54061,45,50596
11,189110,19,168354,141,144703,6,130078,1,124481
101,54193,63,46391,21,43850,99,37231,36,33604
35,87626,29,87427,238,65690,141,54791,103,45484
7,95540,2,32375,103,28290,157,26381,67,23572
432,122921,117,96971,91,92076,63,71347,161,55346
122,42191,19,40467,875,23326,266,22834,23,21501
111,364785,50,136366,53,97909,80,46721,51,24203
24,301843,141,221466,122,152242,11,131945,22,116526
75,118229,98,43647,81,36040,254,32724,85,30995
202,138134,412,100047,498,84362,3,80280,222,79803
19,403154,17,366323,86,335299,67,329627,133,234832
117,201057,99,69882,16,61354,37,60025,25,33443
202,304183,21,256463,141,120651,145,108134,22,101570
25,333990,43,253524,518,244751,143,226291,106,191351
777,214510,498,75581,518,74399,122,63394,11,56866
67,137354,64,111253,92,71873,157,67641,107,67173
82,107008,55,61316,9,57358,58,56269,21,46446
222,350880,21,141562,51,78251,19,60087,498,54892
16,188651,143,122406,498,75252,43,72261,37,70882
55,160532,103,128868,202,89992,114,72434,238,63060
19,728356,21,529442,22,339273,150,251123,5,227441
420,195562,6,179176,86,177133,90,68617,133,49923
21,683968,145,121075,498,70040,254,52824,74,50737
99,135788,142,84942,113,83044,497,82830,777,79103
89,153794,44,112071,32,103044,21,87768,22,87557
161,100661,25,45480,45,31746,16,29157,85,25418
11,218825,157,180138,84,165139,75,129782,222,124165
92,60067,35,40134,41,30919,157,27099,238,25874
45,688051,99,203976,134,183545,53,66018,21,65343
6,346201,21,252404,89,133250,86,111801,99,98702
79,100588,131,56068,42,25252,13,24616,120,24595
145,99399,51,74658,222,68161,103,64782,202,46176
115,218583,21,113362,236,75840,19,54983,222,53426
246,44388,121,41571,17,37851,13,29343,5,27662
3,78772,141,43897,19,41631,254,39393,48,38763
202,139987,54,61858,1,57442,103,37343,89,33886
157,274583,90,204432,25,176005,5,110693,33,94044
11,270934,23,61200,75,39995,17,34737,157,33198
126,74774,17,66844,54,37159,164,35312,161,30451
11,291300,32,202773,22,167847,86,141355,9,140031
246,107642,245,100908,254,36319,517,35644,103,32996
89,103093,19,101051,99,97331,777,86351,54,55317
8,110510,117,63345,13,58602,89,54128,81,49330
157,225510,238,115754,55,67731,84,62620,141,58739
111,215616,101,117967,51,78763,80,70632,1,39485
13,244144,110,196547,142,81983,222,76677,67,73343
875,75572,99,41365,245,30469,157,28648,141,27212
238,212777,53,210815,157,154383,55,135866,64,106064
44,107312,89,68060,26,65734,202,57122,268,50674
74,58188,222,34833,18,32592,11,28442,17,27256
39,90241,84,56811,203,47255,498,38391,246,36404
99,153767,143,143896,25,119833,17,116455,90,52073
81,162359,67,75866,157,73451,21,51479,23,44049
141,133521,39,83817,145,44470,202,41077,25,35699
238,196113,22,70524,21,54398,876,42652,517,42576
201,129039,89,47337,31,45164,53,27423,111,25273
238,56709,236,53221,157,50036,161,33354,222,30971
157,294832,11,228554,238,139842,84,118456,35,93401
157,260031,55,123259,13,77547,75,73409,11,69585
11,248134,23,236600,105,141553,45,141061,157,111972
202,136667,360,73402,24,62071,59,40845,131,38735
202,341356,157,313652,22,302566,99,176587,77,140056
51,87499,99,76922,45,42230,17,34864,267,25425
157,116212,238,91842,245,67876,141,66252,29,62419
157,115043,67,102980,245,63004,119,59059,64,54943
21,124566,157,101036,8,57879,37,48947,55,48790
96,89853,420,75021,31,70637,86,57408,17,46440
99,145770,143,141434,498,90084,25,88343,21,79569
63,191549,54,140254,17,113075,34,97609,23,80063
81,91529,236,73580,51,69530,21,39425,145,37158
24,74307,157,64726,22,38208,777,33657,107,32372
222,69339,18,49033,21,28498,29,25738,19,24195
145,293060,86,220481,51,111641,21,100895,202,79283
75,246215,6,150657,86,149836,31,69065,34,68544
245,509774,99,173187,23,130058,86,125590,51,120741
69,224743,18,104859,22,85382,21,69231,126,68103
35,410623,202,200239,222,155321,92,74576,238,58246
238,273523,157,195912,21,124107,55,73094,245,72183
75,51137,31,48688,40,41439,245,30617,113,30378
21,135121,17,129321,110,123569,29,113821,51,86417
6,48490,81,40054,45,39585,31,38130,101,37442
22,63367,16,50428,21,46340,498,41574,1,39070
202,159611,91,139872,498,101996,55,93058,497,77939
157,375669,45,171735,238,167648,13,81099,17,77708
22,419588,21,396172,498,281457,51,182763,145,126498
131,256432,22,153626,21,88358,412,87967,161,72177
25,103901,145,100040,222,82246,51,73096,18,69300
6,134284,555,71614,36,64615,50,46726,14,42179
238,214153,35,121115,11,45203,50,44685,131,25837
37,252520,16,120001,267,119969,103,118771,25,103691
157,63145,555,58308,875,50591,45,40158,517,34475
29,998740,267,335211,86,202320,111,185610,31,165023
25,159339,526,126082,111,50812,254,33732,21,27427
19,62273,523,55267,11,52341,110,41317,22,40379
202,168398,22,115864,19,41246,120,40287,145,37655
18,241146,86,108898,11,104637,145,74344,22,68814
122,221495,11,135743,105,124217,86,122647,238,104586
19,222103,11,138149,120,124801,45,39634,121,38930
86,52309,23,52245,13,39310,24,27349,81,26869
202,141074,110,138092,85,130971,81,127326,145,96620
21,192227,37,126560,63,71854,25,58160,235,49715
21,146050,102,62942,99,26591,20,24938,234,24651
119,221535,238,45847,157,44283,79,41121,64,32119
55,235858,99,85884,105,55465,63,42456,64,38264
21,150241,82,71373,420,54499,51,44225,266,32736
202,291147,101,132328,223,96003,11,51887,133,42297
157,164140,39,60790,18,56075,412,45145,45,42920
157,83708,11,80004,19,51350,75,30533,21,26057
157,146325,55,137484,69,71631,23,51635,39,47768
55,338886,238,202237,45,104184,91,93310,122,85237
25,159469,145,151870,51,104399,99,65381,498,58672
11,67128,75,60367,121,54972,157,53183,141,49196
54,76824,245,49705,99,46923,81,44466,25,39184
238,134650,11,118147,19,66013,157,63478,122,39946
141,60886,86,49532,202,42734,236,42576,17,36756
145,84033,11,82688,202,64381,19,45675,141,30879
121,97203,84,73469,3,68661,120,51329,29,50573
161,119967,69,108249,50,69012,19,64375,67,41146
875,135843,21,62274,50,44571,19,36255,18,26197
81,143515,202,131430,53,123622,21,107717,236,81278
555,251269,89,229919,350,86633,875,74237,10,67113
267,357251,89,271086,99,245506,40,228924,498,215990
157,305451,11,143158,245,93004,238,89625,122,67395
106,124618,19,104825,75,65667,120,58195,161,53910
157,102835,412,101518,238,88364,236,80296,81,75770
145,164506,81,144388,22,124287,21,105173,40,100347
157,76137,17,50962,11,49989,25,42274,236,36822
238,658017,107,562332,55,105135,222,91040,84,89674
99,462503,22,223576,37,189455,21,157227,222,105596
53,64765,25,46904,45,46283,157,39158,6,34024
86,125460,99,82658,222,35378,33,24178,1,23474
8,380585,136,299317,555,188465,157,143204,235,129865
91,91065,105,70337,5,64799,122,48843,62,40792
55,500027,157,373889,67,305807,238,182542,84,161543
53,116475,99,84584,19,81210,21,75347,120,74217
