,lane,top1,top_dist1,top2,top_dist2,top3,top_dist3,jg1,jg_dist1,jg2,jg_dist2,jg3,jg_dist3,mid1,mid_dist1,mid2,mid_dist2,mid3,mid_dist3,bot1,bot_dist1,bot2,bot_dist2,bot3,bot_dist3,sup1,sup_dist1,sup2,sup_dist2,sup3,sup_dist3
Draven,bot,Rengar,0.01885500491098703,Jax,0.020683094066548825,Darius,0.021643303888943463,LeeSin,0.011649050591831531,Graves,0.015431328230612206,MasterYi,0.016225173533131045,Yasuo,0.007351353535222295,Zed,0.014614930415063837,Katarina,0.020717234135003513,Vayne,0.011669310419784001,Twitch,0.017527760011255774,Jhin,0.017909038847121285,Thresh,0.011545868589479258,Senna,0.015182439210495554,Pyke,0.017331053013752012
DrMundo,top,Jax,0.14067949780782926,Garen,0.14404772126845197,Volibear,0.16923641903282713,Warwick,0.10196226676862481,XinZhao,0.10480079804811136,MasterYi,0.11346183318444693,Veigar,0.06843156649150157,Fizz,0.10535769781541443,Yasuo,0.11725636077011294,Twitch,0.09329417210952616,Jhin,0.09438233236256985,MissFortune,0.0953780035916273,Amumu,0.08575224849133588,Blitzcrank,0.08727990631577233,Pyke,0.1182600714469157
Ekko,jg,Akali,0.008194078672269475,Irelia,0.012050955141241023,Jax,0.014423348783969659,LeeSin,0.009716262387088304,Kayn,0.011522789355608569,Graves,0.015325015338763666,Yasuo,0.005839703933228279,Zed,0.008709091252444819,Sylas,0.008748315367173395,Ezreal,0.005239059802855464,Jhin,0.0075331801200942605,Lucian,0.009696150564444332,Pyke,0.008005131984237895,Lux,0.009470168706435004,Pantheon,0.011733554333551194
Elise,jg,Gragas,0.03515034892840184,Camille,0.04601571979076214,Jayce,0.06748406283708262,LeeSin,0.026966433585018386,Khazix,0.07106215997486913,Nidalee,0.07712070278997239,Sylas,0.04710013891260119,Leblanc,0.05000952765520373,Ahri,0.05563797685432054,Ezreal,0.02067406583181066,Lucian,0.032563689942357976,Vayne,0.037891611274599196,Thresh,0.02677824924619267,Blitzcrank,0.0478405227424808,Morgana,0.05908171494363927
Evelynn,jg,Akali,0.02436233363936262,Irelia,0.02833027717217512,Jax,0.033168512155830415,Kayn,0.022455792853289417,Khazix,0.03949246852077039,LeeSin,0.056986730048979625,Yasuo,0.022519066107645144,Ahri,0.0251110740151421,Sylas,0.03903881736596269,Ezreal,0.020860867713210735,Kaisa,0.02190747017507926,Jhin,0.025180444527665564,Lux,0.014378986801553344,Morgana,0.022519945983499247,Pyke,0.02715890160974118
Ezreal,bot,Irelia,0.003319811300778749,Akali,0.003937693848583458,Riven,0.00492500784518114,LeeSin,0.0013947802169505573,Graves,0.0027001430633328775,Ekko,0.003983878355493402,Yasuo,0.0018333431766512818,Zed,0.0029933424007152765,Sylas,0.004459721003457445,Kaisa,0.0021098332812021867,Lucian,0.002540936656738058,Vayne,0.0030959320139516485,Thresh,0.0020106988648294047,Blitzcrank,0.0026484783477451843,Senna,0.002929917746310323
Fiddlesticks,jg,Volibear,0.06688780632944873,Malphite,0.08501872786585588,Teemo,0.09140631407761436,Kayn,0.09182606970550036,Warwick,0.12749091444125682,Ekko,0.14346218221532672,Veigar,0.05561226269654956,Yasuo,0.06230817888625518,Sylas,0.07970622186784763,Jhin,0.05269730447168001,Ezreal,0.05590943086343626,MissFortune,0.06387193660752541,Thresh,0.07074264878254857,Blitzcrank,0.07956663743682811,Lux,0.08421875988444957
Fiora,top,Camille,0.026985835116264248,Irelia,0.02756481102763955,Akali,0.03527380962041645,LeeSin,0.016558303648381376,Ekko,0.024783712038817858,Graves,0.025387849329262146,Yasuo,0.0121914623999074,Vladimir,0.023886243404812622,Sylas,0.026452556816673873,Ezreal,0.013512183104454836,Vayne,0.01753331491696132,Lucian,0.021811526798426666,Thresh,0.01812502563612064,Lux,0.023989699312209727,Blitzcrank,0.03176592482717983
Fizz,mid,Akali,0.02112146068151549,Jax,0.024532697349296893,Irelia,0.029031708320616093,LeeSin,0.01649917365824715,Ekko,0.01725633496775049,Talon,0.02748212013287972,Yasuo,0.016449047653512266,Zed,0.0206046885204384,Ahri,0.04742356421326644,Ezreal,0.01294339193082104,Lucian,0.018919077227611606,Vayne,0.02142766696811638,Blitzcrank,0.018744431400437248,Lux,0.019006717478446646,Thresh,0.0245429007022862
Galio,mid,Akali,0.048211635412817234,Malphite,0.05845311305867498,Mordekaiser,0.07757363285964206,Warwick,0.07201471387358652,Diana,0.0740809558760523,LeeSin,0.0791267601594106,Ahri,0.060460569194337975,Sylas,0.06885854812420447,Veigar,0.07830937665614705,Ezreal,0.032761851527303903,Ashe,0.041539020915140286,Jhin,0.042877071147023535,Lux,0.04482655626221678,Pantheon,0.051992407816179226,Nautilus,0.05548254747208221
