Champion1,Mastery1,Champion2,Mastery2,Champion3,Mastery3,Champion4,Mastery4,Champion5,Mastery5
131,648950,25,279232,203,260298,6,258161,32,132908
30,63062,21,49369,35,44881,40,43697,41,40143
238,183384,157,174616,64,129382,119,126950,107,119563
96,45456,268,42161,112,39843,517,37057,127,29971
202,269954,236,206400,145,193249,141,185661,67,151938
157,109946,122,71613,86,64705,54,62672,45,53688
80,92853,517,86981,3,83081,10,81955,22,75952
555,225494,202,195051,412,171747,82,143197,141,141990
16,655034,101,490049,134,296877,99,147394,518,134753
86,1082499,122,558289,266,474267,80,436138,5,378545
90,344539,3,135687,45,72308,432,54929,154,52691
69,242631,38,188100,234,137542,121,86417,24,83330
131,565622,55,220081,3,189164,161,171457,25,113298
82,64568,6,57030,27,55739,98,51146,45,48527
64,209960,245,126937,157,100756,81,87398,41,81755
24,252849,131,51370,5,41560,23,36058,102,26784
7,138781,157,93902,84,89030,55,73616,39,64855
143,226086,107,110259,81,56471,21,54881,121,47251
412,127470,498,120557,202,104218,154,96980,164,86708
107,287593,516,159393,150,110485,234,95101,6,89489
238,352354,245,105818,105,64406,64,62719,24,61628
38,151137,45,63986,106,56030,99,50681,31,50132
17,110826,11,106389,86,34940,235,31606,18,30552
67,267696,29,155618,145,102463,222,90152,202,74771
22,520959,51,455933,202,387665,110,278848,81,218579
141,242235,875,173792,75,170787,154,142650,122,99062
157,118767,64,97621,141,80266,9,66147,50,61031
21,942981,67,200389,268,148735,117,144568,22,127586
777,120577,202,88943,360,82226,555,69586,119,58048
86,936773,21,859317,51,858549,81,746495,222,574636
82,197208,21,156563,104,100580,17,77700,875,67346
24,72305,29,58282,164,37959,86,37871,8,36573
35,235679,238,148035,99,94705,161,76978,64,63269
141,463096,157,208186,11,176396,86,135848,64,126050
202,743801,81,93517,29,84439,21,71452,429,69937
555,600341,43,356913,117,274380,19,155120,267,119759
50,244016,3,171607,44,156785,12,103238,105,90505
412,291023,64,284239,121,213822,157,198435,222,151661
99,332333,76,283096,157,178366,412,136299,67,130291
11,226193,202,106473,141,91702,555,50335,245,36738
238,76135,64,71747,82,67056,517,59070,236,47325
145,303945,29,286842,498,166867,96,95208,18,92169
86,200507,497,190489,41,136754,202,115037,268,87291
245,150784,119,111740,22,58145,67,49994,105,48118
99,263286,25,169287,21,108263,89,84153,222,84015
222,343334,202,210563,350,169742,111,151853,141,147665
412,152697,53,38008,223,33509,89,25605,85,23755
429,136796,67,91604,145,63594,412,36861,29,30346
157,300057,58,165378,238,143538,39,119112,119,118107
107,453255,64,175432,104,141865,76,129624,121,104398
245,338558,518,97179,555,86831,35,75502,234,70297
117,347496,145,195420,202,154163,103,147333,99,129030
63,661535,21,176680,267,173731,25,140063,145,135370
202,437553,498,314709,99,201215,59,166717,103,149133
157,211599,145,207224,236,186086,21,157077,98,130932
55,320965,157,271901,64,157371,11,92379,84,83713
107,108996,412,106905,121,93093,238,85767,104,62217
238,411549,157,353943,11,295620,55,196046,141,114853
92,320037,103,182347,16,115059,412,97093,99,73793
142,457129,141,188558,99,170490,157,161204,147,92623
126,28757,157,25352,141,24975,20,24325,91,22281
202,249372,51,202593,110,173986,21,166031,18,147770
141,128843,121,46597,120,38421,102,37307,202,29830
157,180364,202,130898,114,111355,41,98502,67,88095
157,418674,238,335066,64,202748,119,103309,11,96696
21,170782,202,116866,51,98412,141,91442,67,90677
19,77629,22,43997,245,37280,202,36232,45,35157
161,575731,92,536351,17,378803,157,249871,64,202313
240,143407,53,109719,555,109079,89,96097,111,79629
