,Main Champion,Champion,Mastery
2,Qiyana,Fiora,0.05369543828802084
0,Quinn,Teemo,0.11645120271485185
1,Quinn,Malphite,0.15502547083930004
2,Quinn,Garen,0.23449169967593747
0,Rakan,Akali,0.029355276223542788
1,Rakan,Shen,0.03199919594147033
2,Rakan,TahmKench,0.03320821938236842
0,Rammus,Malphite,0.07402035939393965
1,Rammus,Jax,0.08257180104672553
2,Rammus,Garen,0.09144750697206716
0,RekSai,Rengar,0.04866486163934584
1,RekSai,Gragas,0.06004040797335578
2,RekSai,Jax,0.0659394447028636
0,Rell,Akali,0.2336382902026656
1,Rell,Irelia,0.30636329259095085
2,Rell,Sett,0.3156622054542047
0,Renekton,Jax,0.0503264656935437
1,Renekton,Darius,0.052687808952157966
2,Renekton,Malphite,0.05597735509832868
0,Rengar,Riven,0.017267096805835186
1,Rengar,Jax,0.02533717611882564
2,Rengar,Camille,0.028071724576612098
0,Riven,Irelia,0.009294443824658058
1,Riven,Akali,0.014571671756496507
2,Riven,Fiora,0.014819190115506971
0,Rumble,Jayce,0.1686269462186194
1,Rumble,Fiora,0.17424948533084722
2,Rumble,Shen,0.21493004647704958
0,Ryze,Akali,0.04025072656041637
1,Ryze,Irelia,0.051311317264171756
2,Ryze,Aatrox,0.07001646382685325
0,Samira,Akali,0.025987878295196543
1,Samira,Irelia,0.027273029806830506
2,Samira,Sett,0.046597861070086156
0,Sejuani,Jax,0.10567934955120871
1,Sejuani,Gragas,0.12985332336437452
2,Sejuani,Malphite,0.13733122697850972
0,Senna,Teemo,0.03128234797829241
1,Senna,Garen,0.04135967995967672
2,Senna,Sett,0.04423864516039655
0,Seraphine,Akali,0.0956366193057562
1,Seraphine,Kayle,0.12080887398268489
2,Seraphine,Irelia,0.15716610087895902
0,Sett,Garen,0.01837772086422294
1,Sett,Mordekaiser,0.019533104439369498
2,Sett,Darius,0.021961087625144378
0,Shaco,Teemo,0.016001975643552244
1,Shaco,Jax,0.018409206050916605
2,Shaco,Akali,0.023459543722608167
0,Shen,Jax,0.055780200667544744
1,Shen,Garen,0.05819052882437235
2,Shen,Sett,0.06223714354301942
0,Shyvana,Malphite,0.15638139841308168
1,Shyvana,Nasus,0.15943582329008188
2,Shyvana,Garen,0.1797024773411317
0,Singed,Garen,0.12240288221077035
1,Singed,Nasus,0.14855711478428946
2,Singed,Teemo,0.16590327473583735
0,Sion,Gragas,0.08737879131682957
1,Sion,Gangplank,0.08748710050117739
2,Sion,Garen,0.08767346742549753
0,Sivir,Teemo,0.11638627418316015
1,Sivir,Jax,0.1924589921693593
2,Sivir,Garen,0.23370723853494438
