,Main Champion,Champion,Mastery
11,Lissandra,Ziggs,0.11569635328475021
9,Lucian,Ezreal,0.007435983913646633
10,Lucian,Kaisa,0.011713907740283525
11,Lucian,Vayne,0.01395632493492872
9,Lulu,MissFortune,0.011288984093029792
10,Lulu,Ashe,0.014816571398022688
11,Lulu,Ezreal,0.015274397139198972
9,Lux,MissFortune,0.0034570842965380147
10,Lux,Caitlyn,0.004229987977247451
11,Lux,Ashe,0.004331294534478594
9,Malphite,Ezreal,0.025163660946347154
10,Malphite,MissFortune,0.03488095335549668
11,Malphite,Vayne,0.049212601043787524
9,Malzahar,Ezreal,0.04053768904407566
10,Malzahar,MissFortune,0.04879147991286935
11,Malzahar,Jhin,0.051802418884147876
9,Maokai,Ezreal,0.03799835668164438
10,Maokai,Ashe,0.05972710880240767
11,Maokai,MissFortune,0.08014571651409866
9,MasterYi,Vayne,0.007576078049820503
10,MasterYi,Ezreal,0.007604016682836727
11,MasterYi,Jhin,0.008374285608864085
9,MissFortune,Ashe,0.01668779415341031
10,MissFortune,Caitlyn,0.017539359855305574
11,MissFortune,Jhin,0.019809123789406184
9,MonkeyKing,Ezreal,0.02413061593547795
10,MonkeyKing,Vayne,0.04072562017716543
11,MonkeyKing,Lucian,0.04274815371141861
9,Mordekaiser,Jhin,0.02315661217697975
10,Mordekaiser,Ezreal,0.025652427840377818
11,Mordekaiser,Ashe,0.02687346405506573
9,Morgana,Ashe,0.010246673948527296
10,Morgana,MissFortune,0.01469689801639618
11,Morgana,Ezreal,0.016396407079038507
9,Nami,MissFortune,0.013359780750187742
10,Nami,Caitlyn,0.01802577630907489
11,Nami,Ashe,0.02011988462356033
9,Nasus,Jhin,0.02832619348580382
10,Nasus,Ezreal,0.03876575134395703
11,Nasus,Ashe,0.04311378155377811
9,Nautilus,Ezreal,0.02313110598446356
10,Nautilus,MissFortune,0.02791820531906147
11,Nautilus,Ashe,0.030850849806177406
9,Neeko,Ezreal,0.028260795550929023
10,Neeko,MissFortune,0.04196546357051895
11,Neeko,Caitlyn,0.0494719883777586
9,Nidalee,Ezreal,0.011615301882798449
10,Nidalee,Lucian,0.018986303616846487
11,Nidalee,Vayne,0.022889006432092518
9,Nocturne,Ezreal,0.04051042283660775
10,Nocturne,Ashe,0.05379780727822503
11,Nocturne,Lucian,0.05577858280146693
9,Nunu,Ezreal,0.020146391938623845
10,Nunu,Ashe,0.031371037284623815
11,Nunu,Tristana,0.043411322244343846
9,Olaf,Ezreal,0.06778892937076729
10,Olaf,Lucian,0.09624414634837378
11,Olaf,Vayne,0.11688256348887846
9,Orianna,Ezreal,0.029448792289867572
10,Orianna,Lucian,0.041827367979190705
11,Orianna,Vayne,0.05126751254150496
9,Ornn,Ezreal,0.022277711894502613
10,Ornn,Jhin,0.048121455721379665
11,Ornn,Ashe,0.04834390239945861
9,Pantheon,Ezreal,0.022311442360527775
10,Pantheon,Ashe,0.02583678077219708
11,Pantheon,Lucian,0.031767434768013275
9,Poppy,Ezreal,0.031134985802950484
10,Poppy,Vayne,0.050271561994863656
11,Poppy,Tristana,0.05549276589844847
9,Pyke,Ezreal,0.004232571369165362
10,Pyke,Jhin,0.005836660567295578
11,Pyke,Lucian,0.009253807133499908
9,Qiyana,Ezreal,0.024807517339200065
10,Qiyana,Kaisa,0.02893759494909525
11,Qiyana,Lucian,0.037798621847845014
9,Quinn,Ezreal,0.06558831284183018
10,Quinn,Vayne,0.10041987089401691
11,Quinn,Ashe,0.1054299260355362
9,Rakan,Ezreal,0.01357522981105037
10,Rakan,Jhin,0.022383722103491873
11,Rakan,Kaisa,0.024920367915059215
9,Rammus,Ezreal,0.06782309195128991
10,Rammus,Lucian,0.08777930505901087
11,Rammus,Ashe,0.08867082827037055
9,RekSai,Ezreal,0.025078904931529093
10,RekSai,Lucian,0.031004456116798487
11,RekSai,Vayne,0.03982068464538414
9,Rell,Samira,0.17206909999368053
10,Rell,Jhin,0.23582039584255493
11,Rell,Vayne,0.2383733367076829
9,Renekton,Ezreal,0.014236827506984639
10,Renekton,Lucian,0.020185218587615857
11,Renekton,Vayne,0.03941207399813962
9,Rengar,Ezreal,0.008957366874010157
10,Rengar,Vayne,0.010201448934111776
11,Rengar,Lucian,0.012169343232937628
9,Riven,Vayne,0.005012046705828032
10,Riven,Ezreal,0.006570612363183187
11,Riven,Lucian,0.007735062468024684
9,Rumble,Ezreal,0.038935826311404444
10,Rumble,Lucian,0.0627610805382781
11,Rumble,Caitlyn,0.067570618950383
9,Ryze,Ezreal,0.01939935928963368
10,Ryze,Lucian,0.03548932254609378
11,Ryze,Kaisa,0.04184040779999345
9,Samira,Ezreal,0.022804690115068173
10,Samira,Kaisa,0.02873996614959174
11,Samira,Jhin,0.04654550530729465
9,Sejuani,Ashe,0.07871963859637883
10,Sejuani,Ezreal,0.08647155890699701
11,Sejuani,Caitlyn,0.10401465794942648
9,Senna,Ezreal,0.01880189860008875
10,Senna,Jhin,0.020827720743279
11,Senna,Caitlyn,0.02562261071985847
9,Seraphine,MissFortune,0.0623797098863065
10,Seraphine,Ashe,0.07800864226648441
11,Seraphine,Kaisa,0.11537778868272104
9,Sett,Ezreal,0.006631164124254905
10,Sett,Jhin,0.011947872821643064
11,Sett,Lucian,0.012886415245834752
9,Shaco,Ezreal,0.009351944200798094
10,Shaco,Jhin,0.013596602271351963
11,Shaco,Vayne,0.01730324664862479
9,Shen,Ezreal,0.016169730674038388
10,Shen,Jhin,0.024309604048484257
11,Shen,Lucian,0.02437382530915832
9,Shyvana,Ezreal,0.08436290466224705
10,Shyvana,Kaisa,0.11700286632628852
11,Shyvana,Caitlyn,0.12049160040246154
9,Singed,Jhin,0.06235302999745038
10,Singed,Twitch,0.06276381981423569
11,Singed,Ezreal,0.06292785822985093
9,Sion,Jhin,0.024994339157290407
10,Sion,Ezreal,0.03180091707128698
11,Sion,Twitch,0.0394159225034339
9,Sivir,Ashe,0.1075508913437789
10,Sivir,Jinx,0.13636519804005734
11,Sivir,Caitlyn,0.13904533005490402
9,Skarner,Ezreal,0.13612956666157763
10,Skarner,Tristana,0.22938604972090879
11,Skarner,Jhin,0.2398595061478252
9,Sona,Ashe,0.0228495587745127
10,Sona,MissFortune,0.023916362745570966
11,Sona,Ezreal,0.0492829371358154
9,Soraka,MissFortune,0.017027915227068965
10,Soraka,Ashe,0.01714505941583882
11,Soraka,Caitlyn,0.023465384902591584
9,Swain,Ezreal,0.02133597902375029
10,Swain,Jhin,0.025322356037382372
11,Swain,Ashe,0.02685287296749734
