,Main Champion,Champion,Mastery
14,MissFortune,Blitzcrank,0.021179779257563328
12,MonkeyKing,Lux,0.04303093330265952
13,MonkeyKing,Blitzcrank,0.04381177054412157
14,MonkeyKing,Pantheon,0.044705351327766145
12,Mordekaiser,Pyke,0.026408455009715583
13,Mordekaiser,Pantheon,0.032502977609301424
14,Mordekaiser,Lux,0.04166548816500692
12,Morgana,Lux,0.013495010548628561
13,Morgana,Leona,0.03752948240885675
14,Morgana,Thresh,0.0381835415491426
12,Nami,Lulu,0.019122588350027055
13,Nami,Soraka,0.019254493738955717
14,Nami,Lux,0.025902317886213645
12,Nasus,Lux,0.03631800030518548
13,Nasus,Blitzcrank,0.042836630857733995
14,Nasus,Pyke,0.04481603170408752
12,Nautilus,Leona,0.03232731878486502
13,Nautilus,Thresh,0.0411283340608477
14,Nautilus,Blitzcrank,0.0455536572727732
12,Neeko,Lux,0.026822502105600277
13,Neeko,Morgana,0.056615967503041174
14,Neeko,Senna,0.06449524415809414
12,Nidalee,Thresh,0.016506576353116004
13,Nidalee,Blitzcrank,0.02624581020777178
14,Nidalee,Morgana,0.03304476682953014
12,Nocturne,Blitzcrank,0.04139501361772594
13,Nocturne,Pantheon,0.056100005649378414
14,Nocturne,Thresh,0.0730578636552789
12,Nunu,Blitzcrank,0.03571549278860814
13,Nunu,Amumu,0.037398454730381135
14,Nunu,Thresh,0.040336714502410255
12,Olaf,Blitzcrank,0.0802471034350171
13,Olaf,Pantheon,0.10247570565319944
14,Olaf,Amumu,0.10421117266288432
12,Orianna,Lux,0.06102861125698999
13,Orianna,Thresh,0.06236837037086519
14,Orianna,Xerath,0.08382806028924106
12,Ornn,Thresh,0.03409479185133772
13,Ornn,Blitzcrank,0.037166258349142466
14,Ornn,Maokai,0.049011287326714
12,Pantheon,Pyke,0.044582259269161914
13,Pantheon,Blitzcrank,0.045495140945601156
14,Pantheon,Lux,0.05627299372839928
12,Poppy,Lux,0.059255673894078056
13,Poppy,Blitzcrank,0.06693346239744793
14,Poppy,Thresh,0.08403779343914211
12,Pyke,Thresh,0.006417326160117746
13,Pyke,Blitzcrank,0.008490021324599436
14,Pyke,Lux,0.011607814154054158
12,Qiyana,Lux,0.030175189086757506
13,Qiyana,Pyke,0.03424255585436883
14,Qiyana,Senna,0.045062301931461865
12,Quinn,Lux,0.11707217005724238
13,Quinn,Blitzcrank,0.16144928604370284
14,Quinn,Thresh,0.1895871421311578
12,Rakan,Thresh,0.017032569985696952
13,Rakan,Pyke,0.029234273904501677
14,Rakan,Alistar,0.04657966393560542
12,Rammus,Amumu,0.08193291733582346
13,Rammus,Thresh,0.09078847342455083
14,Rammus,Blitzcrank,0.10288095043199369
12,RekSai,Thresh,0.03450410004001866
13,RekSai,Blitzcrank,0.041462204788744954
14,RekSai,Pyke,0.05910102079804064
12,Rell,Senna,0.2871496829827929
13,Rell,Leona,0.4385206592121742
14,Rell,Swain,0.449831192937633
12,Renekton,Thresh,0.03094249571287809
13,Renekton,Blitzcrank,0.03142804960030766
14,Renekton,Pantheon,0.03394109864278549
12,Rengar,Thresh,0.010429326427884541
13,Rengar,Pyke,0.013387740259091249
14,Rengar,Blitzcrank,0.014209071697752632
12,Riven,Thresh,0.00740038909605008
13,Riven,Blitzcrank,0.009611923345404838
14,Riven,Lux,0.010118707308701591
12,Rumble,Pantheon,0.085133969226374
13,Rumble,Maokai,0.08516556263801352
14,Rumble,Blitzcrank,0.08724093320479841
