,Main Champion,Champion,Mastery
8,Malzahar,Galio,0.09783145664439348
6,Maokai,Galio,0.05400776901912323
7,Maokai,Yasuo,0.0787036362858381
8,Maokai,Sylas,0.08697291552728205
6,MasterYi,Yasuo,0.0037642079116842887
7,MasterYi,Zed,0.006807766964886781
8,MasterYi,Veigar,0.011132821543346409
6,MissFortune,Veigar,0.012877049234732403
7,MissFortune,Ahri,0.014107770992352343
8,MissFortune,Yasuo,0.01617999102233799
6,MonkeyKing,Yasuo,0.027689698557744936
7,MonkeyKing,Sylas,0.04555102407743916
8,MonkeyKing,Vladimir,0.05512012588542269
6,Mordekaiser,Yasuo,0.02316067348861337
7,Mordekaiser,Yone,0.025740938439895042
8,Mordekaiser,Veigar,0.02917638667516939
6,Morgana,Veigar,0.01287755624490619
7,Morgana,Ahri,0.014581596046213985
8,Morgana,Neeko,0.022880870181702404
6,Nami,Ahri,0.011304092659026845
7,Nami,Neeko,0.019263797315045374
8,Nami,Veigar,0.023257341046180734
6,Nasus,Veigar,0.023624558002472415
7,Nasus,Yasuo,0.029568443034958786
8,Nasus,Galio,0.07368014215508031
6,Nautilus,Veigar,0.025219790446024327
7,Nautilus,Galio,0.026665904160179055
8,Nautilus,Annie,0.04171593333859407
6,Neeko,Ahri,0.029439204974735615
7,Neeko,Zoe,0.07456882234562294
8,Neeko,Annie,0.11703076688166655
6,Nidalee,Yasuo,0.021105935674209937
7,Nidalee,Sylas,0.02677466966753853
8,Nidalee,Zed,0.034886365561775434
6,Nocturne,Yasuo,0.06197652000613548
7,Nocturne,Sylas,0.07825610652653091
8,Nocturne,Galio,0.08728238213117595
6,Nunu,Yasuo,0.026965638121224784
7,Nunu,Veigar,0.0337777373523841
8,Nunu,Sylas,0.049340505430113646
6,Olaf,Sylas,0.08575185338435024
7,Olaf,Yasuo,0.10303841518463393
8,Olaf,Veigar,0.10763473874904986
6,Orianna,TwistedFate,0.09091140940537408
7,Orianna,Syndra,0.10949530365353982
8,Orianna,Cassiopeia,0.12372785853005153
6,Ornn,Sylas,0.027917996502050273
7,Ornn,Galio,0.034259577104299006
8,Ornn,Yasuo,0.03445208494217896
6,Pantheon,Sylas,0.030096437531781327
7,Pantheon,Yone,0.032627220573530236
8,Pantheon,Yasuo,0.03352452375842712
6,Poppy,Yasuo,0.038891213924633086
7,Poppy,Sylas,0.05416736341456214
8,Poppy,Zoe,0.05858866515094456
6,Pyke,Yasuo,0.003959054635812312
7,Pyke,Sylas,0.008031040836891098
8,Pyke,Zed,0.0080849913463866
6,Qiyana,Yasuo,0.043237052670356386
7,Qiyana,Sylas,0.055016420523400014
8,Qiyana,Fizz,0.06417030062789367
6,Quinn,Yasuo,0.1329219407436725
7,Quinn,Zed,0.15478533943721354
8,Quinn,Veigar,0.18499074684825184
6,Rakan,Galio,0.01848613558351628
7,Rakan,Yasuo,0.019773352692241748
8,Rakan,Ryze,0.03546740509694934
6,Rammus,Yasuo,0.06529444115367468
7,Rammus,Veigar,0.10479904169233535
8,Rammus,Galio,0.12017214911796062
6,RekSai,Yasuo,0.03258771870984778
7,RekSai,Zed,0.04145489899149282
8,RekSai,Sylas,0.051916815847909165
