,Main Champion,Champion,Mastery
3,Orianna,LeeSin,0.04438198219242501
4,Orianna,Ekko,0.0719117508695844
5,Orianna,Diana,0.08552781066587706
3,Ornn,LeeSin,0.04519929986482086
4,Ornn,Kayn,0.05404728529827129
5,Ornn,MasterYi,0.05790159162426722
3,Pantheon,LeeSin,0.035271566640071764
4,Pantheon,MasterYi,0.040174273659511366
5,Pantheon,Kayn,0.04286858740248453
3,Poppy,LeeSin,0.06484804568701888
4,Poppy,Warwick,0.10231180053059669
5,Poppy,Kayn,0.10269791437430698
3,Pyke,Kayn,0.005704963914238227
4,Pyke,LeeSin,0.006755277196497179
5,Pyke,MasterYi,0.008297885596840407
3,Qiyana,Ekko,0.03490012278041062
4,Qiyana,LeeSin,0.03655612582303283
5,Qiyana,Kayn,0.04194276294239386
3,Quinn,MasterYi,0.08221765132965535
4,Quinn,Shaco,0.17659117263355803
5,Quinn,XinZhao,0.17888040272551559
3,Rakan,LeeSin,0.022081191007667228
4,Rakan,Ekko,0.03275392364661503
5,Rakan,Kayn,0.033127853854556875
3,Rammus,MasterYi,0.07534798653638038
4,Rammus,LeeSin,0.1275279203316906
5,Rammus,Warwick,0.17398485044491807
3,RekSai,LeeSin,0.04087427294911837
4,RekSai,Khazix,0.058969038429659136
5,RekSai,Elise,0.06505614791461842
3,Rell,Trundle,0.3149832053299285
4,Rell,Kindred,0.3199050430978166
5,Rell,Lillia,0.46228070587019365
3,Renekton,LeeSin,0.022390898948980418
4,Renekton,MasterYi,0.041023340084722235
5,Renekton,Kayn,0.04352593834529191
3,Rengar,LeeSin,0.008554270666834635
4,Rengar,Khazix,0.01077059239610541
5,Rengar,Kayn,0.015771299467362013
3,Riven,LeeSin,0.004963153071489426
4,Riven,Kayn,0.01153666867693706
5,Riven,Ekko,0.012845251835898332
3,Rumble,LeeSin,0.05471232884199313
4,Rumble,Graves,0.07768705104469553
5,Rumble,Ekko,0.10217683715763864
3,Ryze,LeeSin,0.028441598566895963
4,Ryze,Ekko,0.0508047674541403
5,Ryze,MasterYi,0.05288235752270109
3,Samira,LeeSin,0.026980860873466097
4,Samira,Kayn,0.04079279508172864
5,Samira,MasterYi,0.04764116380959851
3,Sejuani,Kayn,0.11556703316767052
